实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2017-05-05,年度分红,,,1.5,2017-05-11,2017-05-12,2017-05-12,,10派1.5元(含税),2016年报
2018-05-16,年度分红,,,1.0,2018-05-21,2018-05-22,2018-05-22,,10派1元(含税),2017年报
2019-04-11,年度分红,2.0,,0.5,2019-04-16,2019-04-17,2019-04-17,2019-04-17,10送2股派0.5元(含税),2018年报
2020-06-02,年度分红,,,1.8,2020-06-08,2020-06-09,2020-06-09,,10派1.8元(含税),2019年报
2021-05-07,年度分红,,,1.8,2021-05-12,2021-05-13,2021-05-13,,10派1.8元(含税),2020年报
2022-05-07,年度分红,,,1.8,2022-05-12,2022-05-13,2022-05-13,,10派1.8元(含税),2021年报
2023-06-01,年度分红,,,1.8,2023-06-06,2023-06-07,2023-06-07,,10派1.8元(含税),2022年报
2024-04-30,年度分红,,,1.9,2024-05-09,2024-05-10,2024-05-10,,10派1.9元(含税),2023年报
2025-04-23,年度分红,,,2.0,2025-04-29,2025-04-30,2025-04-30,,10派2元(含税),2024年报
2025-11-27,季度分红,,,1.0,2025-12-02,2025-12-03,2025-12-03,,10派1元(含税),2025三季报
2026-05-23,年度分红,,1.0,1.2,2026-05-28,2026-05-29,2026-05-29,2026-05-29,10转增1股派1.2元(含税),2025年报
