常用指标,每股净资产,14.397238,14.058026,13.901358,13.594516,13.104919,12.730147,12.668327,12.145278,12.003071,11.467032,11.418854,12.160889,11.753002,11.230466,11.069618,10.61324,10.507249,10.119716,9.91342,9.516432,9.475271,9.159018,10.241328,9.965012,9.975162,9.530655,9.377048,9.003893,9.06703,8.891427,8.632287,8.333601,8.196608,7.897047,7.692067,7.428522,7.353107,7.160588,6.979578,6.801716,,6.271011,,,5.383561,4.597064,,3.752868,3.056212,2.815983,2.493667,1.790201,1.76009,1.430631,1.197828,1.146973,0.163853
常用指标,每股现金流,16.437319,30.550989,21.903232,17.058388,9.213242,2.007791,-0.224001,5.558454,4.44568,11.639425,10.732742,8.133357,7.533668,-0.258161,-0.430311,2.98409,10.396621,4.859398,5.573143,3.632906,5.898716,-1.305635,1.212235,3.08059,4.724201,-5.020379,-3.072258,-1.385127,2.083397,-7.97339,-6.471655,-7.92554,-1.690744,-9.107273,-9.722878,-3.89586,-2.479545,7.156452,7.444459,3.767599,,14.299159,,,16.887566,4.61701,,6.539628,0.227437,,3.198229,0.886057,,2.603998,0.817359,0.587243,2.19879
常用指标,净资产收益率(ROE),4.0925,13.14,11.9025,7.82,4.125,13.59,12.25,8.21,3.845,14.52,13.56,9.1,4.3225,14.79,12.41,8.04,3.755,12.6,10.5225,6.6,3.1775,11.91,9.5325,6.77,3.6875,12.65,11.13,7.48,3.665,12.43,10.74,7.26,3.5475,13.72,10.725,7.31,3.57,14.47,11.6775,8.26,4.04,15.72,12.39,8.4,16.76,21.69,,22.72,22.77,,,,,,,,
常用指标,总资产报酬率(ROA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,毛利率,54.643778,46.82886,53.81931,52.358557,51.43125,51.11152,59.203452,58.756658,54.719286,52.161852,57.078917,57.849199,57.279927,46.299813,48.936432,49.015701,50.994456,41.410887,43.543557,43.403264,42.965974,32.223438,35.605253,35.789478,35.988186,34.861976,40.021053,39.970643,37.517886,40.929016,43.933343,45.912307,45.985004,40.764768,41.471281,41.326978,41.334446,42.950249,44.003073,43.661305,41.537917,42.945277,44.735278,45.860904,44.916942,48.732365,,48.090502,45.795263,48.170285,48.350227,40.559356,20.004312,41.215795,26.813869,12.640943,-0.795385
常用指标,销售净利率,45.181707,41.258567,47.474428,46.940607,45.248713,41.213036,47.022201,46.633261,44.353072,40.398106,45.288001,45.377603,45.077158,37.341406,39.460614,39.448241,39.98383,32.003805,34.43929,34.189936,35.167237,30.022843,33.188407,33.642568,33.410369,33.263161,36.676713,36.648573,34.476915,37.65192,39.840627,40.177146,38.598146,35.509013,36.269945,36.552485,35.26124,33.919808,34.935806,34.812609,33.481127,33.888773,34.966353,35.531834,34.348804,36.726103,,35.522196,35.305129,37.872563,36.562351,31.102464,16.955456,31.309937,18.610208,15.007014,6.848827
常用指标,期间费用率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,资产负债率,93.619715,92.910978,92.972735,92.894029,92.804666,92.063387,91.908393,92.25016,92.663758,92.386468,92.408841,92.766846,92.994857,92.771475,92.718888,92.830247,92.621515,92.43737,92.491481,92.638216,92.525556,92.211821,92.718229,92.739677,93.55174,93.39312,93.485601,93.710307,93.548508,93.534976,93.737851,93.617865,93.529656,93.627532,94.795359,94.942907,95.057191,94.731441,94.818537,95.053314,,94.921113,,,94.600346,93.728148,94.689207,94.730531,94.59073,94.551983,94.728292,95.450088,95.635977,95.01398,94.839613,94.068526,99.578229
每股指标,基本每股收益,0.58,1.76,1.59,1.03,0.53,1.65,1.5,0.98,0.45,1.69,1.62,1.09,0.51,1.6,1.34,0.85,0.39,1.21,1.01,0.64,0.3,1.21,1.04,0.71,0.37,1.18,1.03,0.68,0.33,1.04,0.89,0.59,0.29,1.03,0.8,0.54,0.26,0.98,0.78,0.54,0.26,0.91,0.71,0.47,0.84,0.86,,0.77,0.64,,,,,,,,
每股指标,稀释每股收益,0.58,1.76,1.59,1.03,0.53,1.65,1.5,0.98,0.45,1.52,1.61,0.95,0.42,1.36,1.14,0.73,0.37,1.05,0.87,0.55,0.26,1.04,0.88,0.6,0.31,1.04,0.91,0.62,0.32,1.04,0.89,0.59,0.29,1.03,0.8,0.54,0.26,0.98,0.78,0.54,0.26,0.91,0.71,0.47,0.84,0.86,,0.77,0.64,,,,,,,,
