实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2017-06-06,年度分红,,,1.5,2017-06-09,2017-06-12,2017-06-12,,10派1.5元(含税),2016年报
2018-05-29,年度分红,,,1.5,2018-06-04,2018-06-05,2018-06-05,,10派1.5元(含税),2017年报
2019-05-25,年度分红,,,1.8,2019-05-30,2019-05-31,2019-05-31,,10派1.8元(含税),2018年报
2020-06-01,年度分红,,,1.8,2020-06-04,2020-06-05,2020-06-05,,10派1.8元(含税),2019年报
2021-06-29,年度分红,,,1.8,2021-07-05,2021-07-06,2021-07-06,,10派1.8元(含税),2020年报
2022-06-29,年度分红,,,1.8,2022-07-05,2022-07-06,2022-07-06,,10派1.8元(含税),2021年报
2023-06-29,年度分红,,,2.0,2023-07-05,2023-07-06,2023-07-06,,10派2元(含税),2022年报
2024-06-28,年度分红,,,2.0,2024-07-04,2024-07-05,2024-07-05,,10派2元(含税),2023年报
2025-06-27,年度分红,,,2.2,2025-07-03,2025-07-04,2025-07-04,,10派2.2元(含税),2024年报
2025-11-18,中期分红,,,1.1,2025-11-24,2025-11-25,2025-11-25,,10派1.1元(含税),2025半年报
2026-06-30,年度分红,,,1.3,2026-07-06,2026-07-07,2026-07-07,,10派1.3元(含税),2025年报
