实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2008-07-16,年度分红,,,1.2,2008-07-21,2008-07-22,2008-07-28,,10派1.2元（含税）,2007年报
2009-07-14,年度分红,,,1.8,2009-07-17,2009-07-20,2009-07-24,,10派1.8元（含税）,2008年报
2010-07-14,年度分红,,,1.8,2010-07-19,2010-07-20,2010-07-26,,10派1.8元（含税）,2009年报
2011-06-07,年度分红,,,2.16,2011-06-10,2011-06-13,2011-06-17,,10派2.16元(含税),2010年报
2012-07-05,年度分红,2.0,,2.0,2012-07-10,2012-07-11,2012-07-17,2012-07-12,10送2股派2元(含税),2011年报
2013-07-16,年度分红,,,4.0,2013-07-19,2013-07-22,2013-07-26,,10派4元(含税),2012年报
2014-07-11,年度分红,2.0,,1.8,2014-07-16,2014-07-17,2014-07-17,2014-07-18,10送2股派1.8元(含税),2013年报
2015-07-10,年度分红,2.0,,2.5,2015-07-16,2015-07-17,2015-07-17,,10送2股派2.5元(含税),2014年报
2016-07-05,年度分红,2.0,,2.5,2016-07-08,2016-07-11,2016-07-11,,10送2股派2.5元(含税),2015年报
2017-07-06,年度分红,2.0,,2.5,2017-07-11,2017-07-12,2017-07-12,,10送2股派2.5元(含税),2016年报
2018-07-04,年度分红,,,2.67,2018-07-11,2018-07-12,2018-07-12,,10派2.67元(含税),2017年报
2019-07-03,年度分红,,,2.86,2019-07-10,2019-07-11,2019-07-11,,10派2.86元(含税),2018年报
2020-07-08,年度分红,,,3.05,2020-07-14,2020-07-15,2020-07-15,,10派3.05元(含税),2019年报
2021-07-08,年度分红,,,3.0,2021-07-15,2021-07-16,2021-07-16,,10派3元(含税),2020年报
2022-07-11,年度分红,,,3.05,2022-07-14,2022-07-15,2022-07-15,,10派3.05元(含税),2021年报
2023-06-28,年度分红,,,3.1,2023-07-05,2023-07-06,2023-07-06,,10派3.1元(含税),2022年报
2024-07-03,年度分红,,,3.2,2024-07-09,2024-07-10,2024-07-10,,10派3.2元(含税),2023年报
2025-01-14,中期分红,,,1.2,2025-01-17,2025-01-20,2025-01-20,,10派1.2元(含税),2024半年报
2025-07-03,年度分红,,,2.0,2025-07-09,2025-07-10,2025-07-10,,10派2元(含税),2024年报
2026-07-04,年度分红,,,2.78,2026-07-09,2026-07-10,2026-07-10,,10派2.78元(含税),2025年报
