实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2008-05-23,年度分红,,,2.0,2008-05-28,2008-05-29,2008-05-29,,10派2元（含税）,2007年报
2009-05-22,年度分红,,,2.0,2009-05-26,2009-05-27,2009-05-27,,10派2元（含税）,2008年报
2010-05-05,年度分红,,,2.0,2010-05-11,2010-05-12,2010-05-12,,10派2元（含税）,2009年报
2011-06-03,年度分红,,,2.0,2011-06-09,2011-06-10,2011-06-10,,10派2元(含税),2010年报
2012-06-01,年度分红,,,2.0,2012-06-07,2012-06-08,2012-06-08,,10派2元(含税),2011年报
2013-07-05,年度分红,,,2.5,2013-07-11,2013-07-12,2013-07-12,,10派2.5元(含税),2012年报
2014-07-05,年度分红,,,4.0,2014-07-10,2014-07-11,2014-07-11,,10派4元(含税),2013年报
2015-07-08,年度分红,,2.0,4.5,2015-07-14,2015-07-15,2015-07-15,2015-07-15,10转增2股派4.5元(含税),2014年报
2016-07-05,年度分红,,,4.5,2016-07-11,2016-07-12,2016-07-12,,10派4.5元(含税),2015年报
2017-07-05,年度分红,,3.0,3.5,2017-07-10,2017-07-11,2017-07-11,2017-07-11,10转增3股派3.5元(含税),2016年报
2018-07-05,年度分红,,,4.0,2018-07-11,2018-07-12,2018-07-12,,10派4元(含税),2017年报
2019-07-02,年度分红,,,4.0,2019-07-09,2019-07-10,2019-07-10,,10派4元(含税),2018年报
2020-07-01,年度分红,,,5.0,2020-07-08,2020-07-09,2020-07-09,,10派5元(含税),2019年报
2021-07-01,年度分红,,,5.0,2021-07-08,2021-07-09,2021-07-09,,10派5元(含税),2020年报
2022-07-05,年度分红,,,5.0,2022-07-11,2022-07-12,2022-07-12,,10派5元(含税),2021年报
2023-07-05,年度分红,,,5.0,2023-07-11,2023-07-12,2023-07-12,,10派5元(含税),2022年报
2024-07-03,年度分红,,,6.0,2024-07-09,2024-07-10,2024-07-10,,10派6元(含税),2023年报
2025-07-09,年度分红,,,9.0,2025-07-15,2025-07-16,2025-07-16,,10派9元(含税),2024年报
2025-12-10,中期分红,,,3.0,2025-12-16,2025-12-17,2025-12-17,,10派3元(含税),2025半年报
