实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2017-06-08,年度分红,,,2.6,2017-06-13,2017-06-14,2017-06-14,,10派2.6元(含税),2016年报
2018-07-03,年度分红,,,3.3,2018-07-09,2018-07-10,2018-07-10,,10派3.3元(含税),2017年报
2019-06-11,年度分红,,4.0,4.0,2019-06-14,2019-06-17,2019-06-17,,10转增4股派4元(含税),2018年报
2020-06-16,年度分红,,,3.1,2020-06-19,2020-06-22,2020-06-22,,10派3.1元(含税),2019年报
2021-06-16,年度分红,,,3.0,2021-06-22,2021-06-23,2021-06-23,,10派3元(含税),2020年报
2022-06-01,年度分红,,,3.0,2022-06-08,2022-06-09,2022-06-09,,10派3元(含税),2021年报
2023-06-01,年度分红,,,3.0,2023-06-07,2023-06-08,2023-06-08,,10派3元(含税),2022年报
2024-06-04,年度分红,,,2.9,2024-06-11,2024-06-12,2024-06-12,,10派2.9元(含税),2023年报
2025-05-30,年度分红,,,2.9,2025-06-05,2025-06-06,2025-06-06,,10派2.9元(含税),2024年报
2026-06-04,年度分红,,,3.0,2026-06-09,2026-06-10,2026-06-10,,10派3元(含税),2025年报
