实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2007-06-20,年度分红,,,0.4,2007-07-02,2007-07-03,2007-07-20,,10派0.4元（含税）,2006年报
2008-06-23,年度分红,,,1.0,2008-06-26,2008-06-27,2008-07-08,,10派1元（含税）,2007年报
2009-06-22,年度分红,,,1.3,2009-06-25,2009-06-26,2009-07-20,,10派1.3元（含税）,2008年报
2010-05-31,年度分红,,,1.4,2010-06-03,2010-06-04,2010-06-22,,10派1.4元（含税）,2009年报
2011-06-03,年度分红,,,1.46,2011-06-09,2011-06-10,2011-06-30,,10派1.46元(含税),2010年报
2012-06-06,年度分红,,,1.55,2012-06-12,2012-06-13,2012-07-06,,10派1.55元(含税),2011年报
2013-06-06,年度分红,,,1.75,2013-06-17,2013-06-18,2013-07-12,,10派1.75元(含税),2012年报
2014-06-20,年度分红,,,1.96,2014-06-26,2014-06-27,2014-06-27,,10派1.96元(含税),2013年报
2015-06-26,年度分红,,,1.9,2015-07-02,2015-07-03,2015-07-03,,10派1.9元(含税),2014年报
2016-06-17,年度分红,,,1.75,2016-06-23,2016-06-24,2016-06-24,,10派1.75元（含税）,2015年报
2017-07-07,年度分红,,,1.68,2017-07-13,2017-07-14,2017-07-14,,10派1.68元(含税),2016年报
2018-07-06,年度分红,,,1.76,2018-07-12,2018-07-13,2018-07-13,,10派1.76元(含税),2017年报
2019-05-25,年度分红,,,1.84,2019-05-31,2019-06-03,2019-06-03,,10派1.84元(含税),2018年报
2020-07-08,年度分红,,,1.91,2020-07-14,2020-07-15,2020-07-15,,10派1.91元(含税),2019年报
2021-05-28,年度分红,,,1.97,2021-06-03,2021-06-04,2021-06-04,,10派1.97元(含税),2020年报
2022-07-08,年度分红,,,2.21,2022-07-14,2022-07-15,2022-07-15,,10派2.21元(含税),2021年报
2023-07-08,年度分红,,,2.32,2023-07-14,2023-07-17,2023-07-17,,10派2.32元(含税),2022年报
2024-07-10,年度分红,,,2.364,2024-07-16,2024-07-17,2024-07-17,,10派2.364元(含税),2023年报
2025-01-15,中期分红,,,1.208,2025-01-22,2025-01-23,2025-01-23,,10派1.208元(含税),2024半年报
2025-04-21,年度分红,,,1.216,2025-04-24,2025-04-25,2025-04-25,,10派1.216元(含税),2024年报
2025-12-05,中期分红,,,1.094,2025-12-10,2025-12-11,2025-12-11,,10派1.094元(含税),2025半年报
2026-07-06,年度分红,,,1.169,2026-07-09,2026-07-10,2026-07-10,,10派1.169元(含税),2025年报
