实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2008-06-18,年度分红,,,0.65,2008-06-23,2008-06-24,2008-07-08,,10派0.65元（含税）,2007年报
2008-11-11,中期分红,,,1.105,2008-11-14,2008-11-17,2008-11-25,,10派1.105元（含税）,2008半年报
2009-06-18,年度分红,,,0.837,2009-06-23,2009-06-24,2009-07-08,,10派0.837元（含税）,2008年报
2010-07-02,年度分红,,,2.02,2010-07-07,2010-07-08,2010-07-21,,10派2.02元（含税）,2009年报
2011-06-17,年度分红,,,2.122,2011-06-23,2011-06-24,2011-07-15,,10派2.122元(含税),2010年报
2012-06-18,年度分红,,,2.365,2012-06-21,2012-06-25,2012-07-13,,10派2.365元(含税),2011年报
2013-06-17,年度分红,,,2.68,2013-06-20,2013-06-21,2013-07-12,,10派2.68元（含税）,2012年报
2014-07-03,年度分红,,,3.0,2014-07-09,2014-07-10,2014-07-10,,10派3元(含税),2013年报
2015-06-24,年度分红,,,3.01,2015-06-30,2015-07-01,2015-07-01,,10派3.01元(含税),2014年报
2016-06-23,年度分红,,,2.74,2016-06-29,2016-06-30,2016-06-30,,10派2.74元(含税),2015年报
2017-06-24,年度分红,,,2.78,2017-06-29,2017-06-30,2017-06-30,,10派2.78元(含税),2016年报
2018-07-10,年度分红,,,2.91,2018-07-16,2018-07-17,2018-07-17,,10派2.91元(含税),2017年报
2019-07-02,年度分红,,,3.06,2019-07-09,2019-07-10,2019-07-10,,10派3.06元(含税),2018年报
2020-07-02,年度分红,,,3.2,2020-07-09,2020-07-10,2020-07-10,,10派3.2元(含税),2019年报
2021-07-07,年度分红,,,3.26,2021-07-14,2021-07-15,2021-07-15,,10派3.26元(含税),2020年报
2022-07-01,年度分红,,,3.64,2022-07-07,2022-07-08,2022-07-08,,10派3.64元(含税),2021年报
2023-07-08,年度分红,,,3.89,2023-07-13,2023-07-14,2023-07-14,,10派3.89元(含税),2022年报
2024-07-06,年度分红,,,4.0,2024-07-11,2024-07-12,2024-07-12,,10派4元(含税),2023年报
2025-01-03,中期分红,,,1.97,2025-01-09,2025-01-10,2025-01-10,,10派1.97元(含税),2024半年报
2025-04-30,年度分红,,,2.06,2025-05-08,2025-05-09,2025-05-09,,10派2.06元(含税),2024年报
2025-12-05,中期分红,,,1.858,2025-12-10,2025-12-11,2025-12-11,,10派1.858元(含税),2025半年报
2026-07-07,年度分红,,,2.029,2026-07-10,2026-07-13,2026-07-13,,10派2.029元(含税),2025年报
