实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2020-07-06,年度分红,,,2.4,2020-07-09,2020-07-10,2020-07-10,,10派2.4元(含税),2019年报
2021-07-24,年度分红,,,1.61,2021-07-29,2021-07-30,2021-07-30,,10派1.61元(含税),2020年报
2023-05-12,年度分红,,,2.1,2023-05-18,2023-05-19,2023-05-19,,10派2.1元(含税),2022年报
2024-06-20,年度分红,,,1.64,2024-06-25,2024-06-26,2024-06-26,,10派1.64元(含税),2023年报
2025-06-21,年度分红,,,1.56,2025-06-26,2025-06-27,2025-06-27,,10派1.56元(含税),2024年报
2026-06-19,年度分红,,,1.31,2026-06-25,2026-06-26,2026-06-26,,10派1.31元(含税),2025年报
