实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2007-06-15,年度分红,,,0.16,2007-06-20,2007-06-21,2007-06-28,,10派0.16元（含税）,2006年报
2008-06-11,年度分红,,,1.33,2008-06-17,2008-06-18,2008-06-26,,10派1.33元（含税）,2007年报
2009-05-27,年度分红,,,1.65,2009-06-03,2009-06-04,2009-06-30,,10派1.65元（含税）,2008年报
2010-05-20,年度分红,,,1.7,2010-05-26,2010-05-27,2010-06-25,,10派1.7元（含税）,2009年报
2011-06-08,年度分红,,,1.84,2011-06-14,2011-06-15,2011-07-08,,10派1.84元(含税),2010年报
2012-06-07,年度分红,,,2.03,2012-06-13,2012-06-14,2012-07-12,,10派2.03元(含税),2011年报
2013-06-19,年度分红,,,2.39,2013-06-25,2013-06-26,2013-07-19,,10派2.39元(含税),2012年报
2014-06-13,年度分红,,,2.617,2014-06-19,2014-06-20,2014-06-20,,10派2.617元(含税),2013年报
2015-06-29,年度分红,,,2.554,2015-07-06,2015-07-07,2015-07-07,,10派2.554元(含税),2014年报
2016-07-01,年度分红,,,2.333,2016-07-07,2016-07-08,2016-07-08,,10派2.333元(含税),2015年报
2017-07-04,年度分红,,,2.343,2017-07-10,2017-07-11,2017-07-11,,10派2.343元(含税),2016年报
2018-07-06,年度分红,,,2.408,2018-07-12,2018-07-13,2018-07-13,,10派2.408元(含税),2017年报
2019-06-27,年度分红,,,2.506,2019-07-02,2019-07-03,2019-07-03,,10派2.506元(含税),2018年报
2020-06-20,年度分红,,,2.628,2020-06-29,2020-06-30,2020-06-30,,10派2.628元(含税),2019年报
2021-06-29,年度分红,,,2.66,2021-07-05,2021-07-06,2021-07-06,,10派2.66元(含税),2020年报
2022-07-05,年度分红,,,2.933,2022-07-11,2022-07-12,2022-07-12,,10派2.933元(含税),2021年报
2023-07-11,年度分红,,,3.035,2023-07-14,2023-07-17,2023-07-17,,10派3.035元(含税),2022年报
2024-07-09,年度分红,,,3.064,2024-07-15,2024-07-16,2024-07-16,,10派3.064元(含税),2023年报
2024-12-31,中期分红,,,1.434,2025-01-06,2025-01-07,2025-01-07,,10派1.434元(含税),2024半年报
2025-07-08,年度分红,,,1.646,2025-07-11,2025-07-14,2025-07-14,,10派1.646元(含税),2024年报
2025-12-09,中期分红,,,1.414,2025-12-12,2025-12-15,2025-12-15,,10派1.414元(含税),2025半年报
2026-05-07,年度分红,,,1.689,2026-05-12,2026-05-13,2026-05-13,,10派1.689元(含税),2025年报
