实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2017-05-26,年度分红,,,1.78,2017-06-05,2017-06-06,2017-06-06,,10派1.78元(含税),2016年报
2018-07-03,年度分红,,,1.8,2018-07-09,2018-07-10,2018-07-10,,10派1.8元(含税),2017年报
2019-07-05,年度分红,,,3.4,2019-07-11,2019-07-12,2019-07-12,,10派3.4元(含税),2018年报
2020-06-18,年度分红,,,2.78,2020-06-23,2020-06-24,2020-06-24,,10派2.78元(含税),2019年报
2021-06-10,年度分红,,,3.16,2021-06-17,2021-06-18,2021-06-18,,10派3.16元(含税),2020年报
2022-05-20,年度分红,,,4.0,2022-05-25,2022-05-26,2022-05-26,,10派4元(含税),2021年报
2023-07-11,年度分红,,,4.907,2023-07-14,2023-07-17,2023-07-17,,10派4.907元(含税),2022年报
2024-06-07,年度分红,,,4.7,2024-06-13,2024-06-14,2024-06-14,,10派4.7元(含税),2023年报
2025-01-02,中期分红,,,3.062,2025-01-09,2025-01-10,2025-01-10,,10派3.062元(含税),2024半年报
2025-07-03,年度分红,,,2.144,2025-07-09,2025-07-10,2025-07-10,,10派2.144元(含税),2024年报
2026-01-08,中期分红,,,3.309,2026-01-13,2026-01-14,2026-01-14,,10派3.309元(含税),2025半年报
2026-07-04,年度分红,,,2.332,2026-07-09,2026-07-10,2026-07-10,,10派2.332元(含税),2025年报
