实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2010-08-27,特别分红,,,1.18803704,2010-06-30,,,,10派1.18803704元（含税）,2010半年报
2011-06-10,年度分红,,,0.54,2011-06-16,2011-06-17,2011-07-15,,10派0.54元(含税),2010年报
2012-06-12,年度分红,,,1.315,2012-06-19,2012-06-20,2012-07-16,,10派1.315元(含税),2011年报
2013-06-20,年度分红,,,1.565,2013-06-27,2013-06-28,2013-07-22,,10派1.565元(含税),2012年报
2014-06-26,年度分红,,,1.77,2014-07-02,2014-07-03,2014-07-03,,10派1.77元(含税),2013年报
2015-07-03,年度分红,,,1.82,2015-07-09,2015-07-10,2015-07-10,,10派1.82元(含税),2014年报
2016-06-30,年度分红,,,1.668,2016-07-06,2016-07-07,2016-07-07,,10派1.668元(含税),2015年报
2017-07-06,年度分红,,,1.7,2017-07-12,2017-07-13,2017-07-13,,10派1.7元(含税),2016年报
2018-05-19,年度分红,,,1.783,2018-05-24,2018-05-25,2018-05-25,,10派1.783元(含税),2017年报
2019-06-11,年度分红,,,1.739,2019-06-18,2019-06-19,2019-06-19,,10派1.739元(含税),2018年报
2020-07-06,年度分红,,,1.819,2020-07-09,2020-07-10,2020-07-10,,10派1.819元(含税),2019年报
2021-06-08,年度分红,,,1.851,2021-06-16,2021-06-17,2021-06-17,,10派1.851元(含税),2020年报
2022-07-08,年度分红,,,2.068,2022-07-14,2022-07-15,2022-07-15,,10派2.068元(含税),2021年报
2023-07-10,年度分红,,,2.222,2023-07-17,2023-07-18,2023-07-18,,10派2.222元(含税),2022年报
2024-05-30,年度分红,,,2.309,2024-06-06,2024-06-07,2024-06-07,,10派2.309元(含税),2023年报
2024-12-30,中期分红,,,1.164,2025-01-07,2025-01-08,2025-01-08,,10派1.164元(含税),2024半年报
2025-07-09,年度分红,,,1.255,2025-07-16,2025-07-17,2025-07-17,,10派1.255元(含税),2024年报
2025-12-09,中期分红,,,1.195,2025-12-12,2025-12-15,2025-12-15,,10派1.195元(含税),2025半年报
2026-05-07,年度分红,,,1.3,2026-05-12,2026-05-13,2026-05-13,,10派1.3元(含税),2025年报
