实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2020-06-04,年度分红,,,2.102,2020-06-09,2020-06-10,2020-06-10,,10派2.102元(含税),2019年报
2021-07-14,年度分红,,,2.085,2021-07-21,2021-07-22,2021-07-22,,10派2.085元(含税),2020年报
2022-07-06,年度分红,,,2.474,2022-07-11,2022-07-12,2022-07-12,,10派2.474元(含税),2021年报
2023-07-07,年度分红,,,2.579,2023-07-12,2023-07-13,2023-07-13,,10派2.579元(含税),2022年报
2024-07-05,年度分红,,,2.61,2024-07-10,2024-07-11,2024-07-11,,10派2.61元(含税),2023年报
2024-12-31,中期分红,,,1.477,2025-01-07,2025-01-08,2025-01-08,,10派1.477元(含税),2024半年报
2025-04-24,年度分红,,,1.139,2025-04-29,2025-04-30,2025-04-30,,10派1.139元(含税),2024年报
2026-01-06,中期分红,,,1.23,2026-01-09,2026-01-12,2026-01-12,,10派1.23元(含税),2025半年报
2026-07-07,年度分红,,,0.953,2026-07-10,2026-07-13,2026-07-13,,10派0.953元(含税),2025年报
