常用指标,每股净资产,8.59671,8.411257,8.440542,8.232174,8.514446,8.367029,8.380048,8.11811,8.137685,7.915279,7.80335,7.553796,7.562761,7.406466,7.32248,7.056113,7.080977,6.886863,6.709505,6.399376,6.406585,6.253704,6.085618,5.896032,6.003518,5.753836,5.710913,,,,,,,,,4.497439,4.440127,4.276511,4.129555,3.94216,3.852379,3.296649,3.001,2.552644,2.177536,1.364414
常用指标,每股现金流,2.563354,3.431108,2.914159,1.529614,0.763354,4.006373,2.833664,1.320398,2.270509,2.65565,-0.286584,0.842034,0.244208,5.140652,1.398662,1.590253,1.553927,1.185887,-0.538902,1.81933,1.222116,1.859897,0.270858,-0.125651,0.985939,0.306752,1.068356,,,,,,,,,-4.693265,-1.67268,2.72065,6.12798,13.577386,,11.946543,0.383765,4.286755,2.485073,-2.111097
常用指标,净资产收益率(ROE),2.4275,8.67,8.0025,5.455,2.8325,9.84,8.8425,5.715,3.09,10.85,9.675,6.43,3.5925,11.89,10.425,6.675,3.705,11.86,10.26,6.65,3.7,11.84,9.8775,6.325,3.9425,13.1,11.7675,8.19,4.25,12.31,10.95,,,13.07,,7.455,3.96,13.44,,,,,23.19,,,
常用指标,总资产报酬率(ROA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,毛利率,28.76188,27.796518,32.967406,32.384672,30.584246,26.836499,31.904866,30.188529,32.124566,26.71741,31.837753,30.904755,33.424452,27.222679,32.098111,30.335349,33.77128,25.537862,30.334203,28.977564,31.304797,23.674537,26.290211,24.465308,31.353313,22.538284,27.424714,28.427467,46.667348,21.50386,25.686052,43.530602,44.172108,25.590456,38.340822,38.150283,38.922783,22.369166,27.653291,21.40037,26.853957,22.465235,23.958981,26.335856,25.490646,17.6673
常用指标,销售净利率,26.87756,24.632022,28.970122,27.537532,28.380873,24.86302,29.185055,27.651607,29.024935,25.232768,29.127101,28.04787,29.814094,25.482451,28.776208,27.193432,29.383585,24.009135,27.196485,26.161252,27.579206,22.472938,24.458645,23.00917,27.857449,22.049861,25.833194,26.426846,27.089114,20.070882,23.771772,24.580841,26.12312,21.244411,25.098391,25.093184,26.297426,21.066792,25.022364,18.374124,22.20714,18.783705,20.501126,22.395977,21.196286,14.794116
常用指标,期间费用率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,资产负债率,94.081856,93.778284,93.733759,93.728568,94.367287,93.961636,93.832248,93.866041,93.823756,93.917222,94.02251,94.110396,93.934257,94.129541,93.951021,93.734458,93.645289,93.680036,93.625081,93.857887,93.721879,94.072805,94.087969,94.148229,93.970889,94.666783,94.939975,95.092376,95.133076,95.005228,94.974407,95.137357,95.132927,95.213819,95.136951,95.73046,95.756467,95.803243,96.442725,96.288137,96.755149,97.016524,97.469759,97.657218,97.82664,98.350158
每股指标,基本每股收益,0.2,0.73,0.66,0.43,0.24,0.81,0.71,0.44,0.25,0.83,0.73,0.46,0.27,0.85,0.73,0.44,0.26,0.78,0.65,0.4,0.24,0.71,0.58,0.36,0.23,0.72,0.64,0.43,0.23,0.62,0.55,,,0.59,,,0.17,0.55,,,,,,,,
每股指标,稀释每股收益,0.2,0.73,0.66,0.43,0.24,0.81,0.71,0.44,0.25,0.83,0.73,0.46,0.27,0.85,0.73,0.44,0.26,0.78,0.65,0.4,0.24,0.71,0.58,0.36,0.23,0.72,0.64,0.43,0.23,0.62,0.55,,,0.59,,,0.17,0.55,,,,,,,,
每股指标,摊薄每股收益_最新股数,0.214213,0.72779,0.637511,0.409908,0.210216,0.720087,0.631316,0.406469,0.215878,0.718347,0.629959,0.412706,0.218826,0.709637,0.614921,0.392305,0.207976,0.634247,0.537132,0.341479,0.176535,0.534568,0.440018,0.280261,0.167317,0.507373,0.452041,0.311261,0.154211,0.435579,0.388941,0.27081,0.137432,0.397043,0.336974,0.221491,0.114875,0.331412,0.193421,0.290261,0.257375,0.271176,0.247037,0.236237,0.192181,0.095224
每股指标,摊薄每股净资产_期末股数,8.59671,8.411257,8.440542,8.232174,8.514446,8.367029,8.380048,8.11811,8.137685,7.915279,7.80335,7.553796,7.562761,7.406466,7.32248,7.056113,7.080977,6.886863,6.709505,6.399376,6.406585,6.253704,6.085618,5.896032,6.003518,5.753836,5.710913,,,,,,,,,4.497439,4.440127,4.276511,4.129555,3.94216,3.852379,3.296649,3.001,2.552644,2.177536,1.364414
每股指标,调整每股净资产_期末股数,7.951629,7.786069,7.821541,7.625071,7.786055,7.665463,7.680872,7.4089,7.443299,7.206159,7.064289,6.825505,6.847036,6.635705,6.595904,6.338976,6.396291,6.233222,6.046988,5.73202,5.761928,5.592752,5.436714,5.255314,5.411455,5.162418,5.130036,,,,,,,,,4.302686,4.264725,4.066332,3.933808,3.758862,3.660818,3.126035,2.85334,2.451288,2.102731,1.326219
每股指标,每股净资产_最新股数,8.596707,8.411254,8.440539,8.23217,7.030272,6.908552,6.919302,6.703023,6.719185,6.535548,6.443129,6.237076,6.244478,5.697478,5.632871,5.427967,5.447093,5.29777,5.161336,4.922767,4.928312,4.529253,4.407517,4.270209,4.348055,4.130045,3.853289,3.707396,3.704424,3.551645,3.507421,3.768997,3.732451,3.190198,3.147623,3.034529,2.99586,2.885464,2.358998,2.251949,1.828432,1.564668,1.174461,0.956484,0.743402,0.465806
每股指标,每股经营现金流,2.563354,3.431108,2.914159,1.529614,0.763354,4.006373,2.833664,1.320398,2.270509,2.65565,-0.286584,0.842034,0.244208,5.140652,1.398662,1.590253,1.553927,1.185887,-0.538902,1.81933,1.222116,1.859897,0.270858,-0.125651,0.985939,0.306752,1.068356,,,,,,,,,-4.693265,-1.67268,2.72065,6.12798,13.577386,,11.946543,0.383765,4.286755,2.485073,-2.111097
每股指标,每股现金流量净额,-1.828893,2.345026,1.001881,1.764361,0.070572,-1.147749,-0.80338,-1.770807,0.914926,2.150512,0.183086,1.717197,0.686166,-0.798666,-1.663123,0.35885,0.73872,-0.23556,-0.381007,1.568864,0.471401,0.634383,-1.459662,-1.250715,0.324388,-1.416099,-1.331922,,,,,,,,,-0.046044,1.398575,-0.524095,4.121319,-4.527141,,7.93335,-1.501255,0.644644,0.503,-0.541365
每股指标,每股企业自由现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
每股指标,每股股东自由现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
每股指标,每股未分配利润,2.558224,2.375969,2.6838,2.456688,2.847944,2.655711,2.974102,2.700537,2.72592,2.514133,2.721311,2.458607,2.482044,2.437608,2.635542,2.34664,2.383074,2.15232,2.38879,2.132479,2.15192,2.076041,2.177537,1.957047,2.041009,1.826282,2.085917,,,,,,,,,1.19954,1.115227,0.944971,1.064558,0.857151,1.336983,0.794701,0.518361,0.552888,0.351219,
每股指标,每股资本公积金,2.26235,2.26235,2.26235,2.26235,1.640473,1.640574,1.640554,1.640554,1.640574,1.640584,1.640584,1.640584,1.640584,1.347408,1.357009,1.358308,1.358308,1.358308,1.358308,1.358308,1.358308,1.160119,1.160119,1.160119,1.160119,1.130784,0.921227,,,,,,,,,0.921363,0.920462,0.921363,0.539093,0.539093,0.115197,0.060491,0.032,0.110977,0.254707,0.004512
每股指标,每股盈余公积金,0.700753,0.700753,0.629002,0.629002,0.761791,0.761791,0.675769,0.675769,0.675769,0.675769,0.589727,0.589727,0.589727,0.632988,0.542355,0.542355,0.542355,0.542355,0.462071,0.462071,0.462071,0.490785,0.41894,0.41894,0.41894,0.422711,0.374807,,,,,,,,,,,0.251693,0.239213,0.239213,0.22675,0.226754,0.205702,0.148377,0.093853,0.037975
每股指标,每股留存收益,3.258978,3.076722,3.312802,3.08569,3.609735,3.417502,3.649872,3.376307,3.40169,3.189903,3.311039,3.048335,3.071772,3.070596,3.177898,2.888995,2.92543,2.694676,2.850861,2.594551,2.613991,2.566826,2.596477,2.375987,2.45995,2.248993,2.460724,,,,,,,,,1.19954,1.115227,1.196665,1.303772,1.096364,1.563734,1.021456,0.724063,0.701266,0.445073,0.037975
每股指标,每股营业收入,0.800716,2.962055,2.207252,1.4942,0.90119,3.517259,2.625518,1.782848,0.901866,3.454049,2.623228,1.784733,0.889089,3.625692,2.78112,1.877608,0.921912,3.450402,2.580078,1.706496,0.837049,3.290472,2.486381,1.682544,0.829752,3.211129,2.596105,,,,,,,,,1.307808,0.647283,2.330083,1.352413,2.765246,2.441886,3.041736,3.079021,2.815088,2.65578,1.88539
每股指标,每股营业总收入,0.800716,2.962055,2.207252,1.4942,0.90119,3.517259,2.625518,1.782848,0.901866,3.454049,2.623228,1.784733,0.889089,3.625692,2.78112,1.877608,0.921912,3.450402,2.580078,1.706496,0.837049,3.290472,2.486381,1.682544,0.829752,3.211129,2.596105,,,,,,,,,1.307808,0.647283,2.330083,1.352413,2.765246,2.441886,3.041736,3.079021,2.815088,2.65578,1.88539
每股指标,每股息税前利润,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盈利能力,净资产收益率(ROE),2.4275,8.67,8.0025,5.455,2.8325,9.84,8.8425,5.715,3.09,10.85,9.675,6.43,3.5925,11.89,10.425,6.675,3.705,11.86,10.26,6.65,3.7,11.84,9.8775,6.325,3.9425,13.1,11.7675,8.19,4.25,12.31,10.95,,,13.07,,7.455,3.96,13.44,,,,,23.19,,,
盈利能力,摊薄净资产收益率,2.49181,8.652576,7.552973,4.97935,2.990165,10.423137,9.123991,6.063975,3.212874,10.991391,9.777225,6.616985,3.504322,12.455297,10.916656,7.227492,3.818126,11.971972,10.406855,6.936738,3.58206,11.802566,9.983356,6.563175,3.848098,12.284928,11.731325,8.395696,4.162892,12.264175,11.089111,7.185212,3.682105,12.445742,10.705688,7.299029,3.83448,11.485585,8.199319,12.889353,14.076316,17.331261,21.034123,24.698569,25.851544,20.442966
盈利能力,净资产收益率_平均,2.51898,9.501297,8.306832,5.41465,3.016277,10.712325,9.384223,6.140687,3.257387,11.744397,10.377722,6.916159,3.664837,12.908082,11.251329,7.315225,3.871187,12.908233,11.085657,7.225534,3.733204,12.346685,10.307816,6.672686,3.94705,13.209933,12.209208,8.575836,4.250543,12.921688,11.614332,7.782809,3.970525,13.069976,11.170888,7.482819,3.906455,12.901918,8.389676,15.210414,15.17054,19.800216,23.185732,27.794541,31.786255,20.442966
盈利能力,净资产收益率_平均_扣除非经常损益,2.514476,9.562933,8.329617,5.426199,3.02476,10.600469,9.358354,6.12446,3.242561,11.729831,10.369766,6.907508,3.662466,12.865067,11.227104,7.299387,3.863128,12.799436,11.044757,7.205272,3.724224,12.189561,10.215942,6.59299,3.938407,12.946745,11.95395,8.45218,,13.3305,,,,14.334132,,,,12.734975,,,,,,,,
盈利能力,摊薄净资产收益率_扣除非经常损益,2.487354,8.708706,7.57369,,2.998575,10.3143,9.09884,6.04795,3.198251,10.977758,9.76973,6.608708,3.502055,12.413791,10.893152,7.211845,3.810177,11.871066,10.368459,6.917286,3.573443,11.652366,9.894374,6.484787,3.839672,12.040169,,8.274638,,12.652185,,,,13.64952,,,,11.336969,,,,,,,,
盈利能力,息税前利润率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盈利能力,总资产报酬率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盈利能力,总资本回报率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盈利能力,投入资本回报率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盈利能力,息前税后总资产报酬率_平均,0.135341,0.489965,0.430332,0.280166,0.145866,0.52857,0.467977,0.304198,0.161934,0.580145,0.515719,0.340098,0.182758,0.640438,0.566314,0.362646,0.193535,0.639334,0.549948,0.349965,0.182945,0.596366,0.495488,0.317926,0.191336,0.618621,0.553775,0.382181,0.188697,0.565434,0.508805,0.354954,0.181141,0.552245,0.475556,0.316393,0.164668,0.511194,0.304056,0.512803,0.473146,0.548599,0.566315,0.629698,0.615584,0.337276
盈利能力,毛利率,28.76188,27.796518,32.967406,32.384672,30.584246,26.836499,31.904866,30.188529,32.124566,26.71741,31.837753,30.904755,33.424452,27.222679,32.098111,30.335349,33.77128,25.537862,30.334203,28.977564,31.304797,23.674537,26.290211,24.465308,31.353313,22.538284,27.424714,28.427467,46.667348,21.50386,25.686052,43.530602,44.172108,25.590456,38.340822,38.150283,38.922783,22.369166,27.653291,21.40037,26.853957,22.465235,23.958981,26.335856,25.490646,17.6673
盈利能力,销售净利率,26.87756,24.632022,28.970122,27.537532,28.380873,24.86302,29.185055,27.651607,29.024935,25.232768,29.127101,28.04787,29.814094,25.482451,28.776208,27.193432,29.383585,24.009135,27.196485,26.161252,27.579206,22.472938,24.458645,23.00917,27.857449,22.049861,25.833194,26.426846,27.089114,20.070882,23.771772,24.580841,26.12312,21.244411,25.098391,25.093184,26.297426,21.066792,25.022364,18.374124,22.20714,18.783705,20.501126,22.395977,21.196286,14.794116
盈利能力,成本费用利润率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盈利能力,营业利润率,28.76188,27.796518,32.967406,32.384672,30.584246,26.836499,31.904866,30.188529,32.124566,26.71741,31.837753,30.904755,33.424452,27.222679,32.098111,30.335349,33.77128,25.537862,30.334203,28.977564,31.304797,23.674537,26.290211,24.465308,31.353313,22.538284,27.424714,28.427467,30.236294,21.50386,25.686052,25.879856,,25.590456,28.37646,28.368546,30.209723,22.369166,27.653291,21.40037,26.853957,22.465235,23.958981,26.335856,25.490646,17.6673
盈利能力,总资产净利率_平均,0.134712,0.488741,0.429032,0.279106,0.145199,0.527125,0.466961,0.303763,0.161741,0.579111,0.514963,0.339591,0.182723,0.639456,0.565655,0.362216,0.193156,0.63631,0.54725,0.34798,0.181864,0.595262,0.49501,0.317784,0.191231,0.617577,0.553204,0.381762,0.188402,0.564646,0.508729,0.354692,0.180976,0.551944,0.475251,0.316488,0.164703,0.511515,0.304226,0.512832,0.473146,0.548599,0.566315,0.629698,0.615584,0.337276
盈利能力,总资产净利率_平均(含少数股东损益),0.135341,0.489965,0.430332,0.280166,0.145866,0.52857,0.467977,0.304198,0.161934,0.580145,0.515719,0.340098,0.182758,0.640438,0.566314,0.362646,0.193535,0.639334,0.549948,0.349965,0.182945,0.596366,0.495488,0.317926,0.191336,0.618621,0.553775,0.382181,0.188697,0.565434,0.508805,0.354954,0.181141,0.552245,0.475556,0.316393,0.164668,0.511194,0.304056,0.512803,0.473146,0.548599,0.566315,0.629698,0.615584,0.337276
