实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2008-07-29,年度分红,,,3.0,2008-08-01,2008-08-04,2008-08-08,,10派3元（含税）,2007年报
2009-06-10,年度分红,,,3.0,2009-06-15,2009-06-16,2009-06-22,,10派3元（含税）,2008年报
2010-06-03,年度分红,3.0,,1.0,2010-06-08,2010-06-09,2010-06-21,2010-06-10,10送3股派1元（含税）,2009年报
2011-06-09,年度分红,,,2.0,2011-06-14,2011-06-15,2011-06-21,,10派2元(含税),2010年报
2012-06-12,年度分红,,,3.0,2012-06-15,2012-06-18,2012-06-25,,10派3元(含税),2011年报
2013-07-12,年度分红,,,4.06,2013-07-17,2013-07-18,2013-07-24,,10派4.06元(含税),2012年报
2014-07-19,年度分红,,,4.6,2014-07-24,2014-07-25,2014-07-25,,10派4.6元(含税),2013年报
2015-09-16,中期分红,,,5.0,2015-09-22,2015-09-23,2015-09-23,,10派5元(含税),2015半年报
2016-06-01,年度分红,,8.0,4.0,2016-06-06,2016-06-07,2016-06-07,,10转增8股派4元(含税),2015年报
2017-07-12,年度分红,,4.0,2.6,2017-07-17,2017-07-18,2017-07-18,,10转增4股派2.6元(含税),2016年报
2018-07-31,年度分红,,,3.45,2018-08-07,2018-08-08,2018-08-08,,10派3.45元(含税),2017年报
2019-07-25,年度分红,,,3.92,2019-07-30,2019-07-31,2019-07-31,,10派3.92元(含税),2018年报
2020-06-12,年度分红,,,3.92,2020-06-18,2020-06-19,2020-06-19,,10派3.92元(含税),2019年报
2021-05-29,年度分红,,,3.93,2021-06-03,2021-06-04,2021-06-04,,10派3.93元(含税),2020年报
2022-06-09,年度分红,,,4.6162,2022-06-16,2022-06-17,2022-06-17,,10派4.6162元(含税),2021年报
2023-06-15,年度分红,,,5.339,2023-06-20,2023-06-21,2023-06-21,,10派5.339元(含税),2022年报
2024-06-07,年度分红,,,5.367,2024-06-13,2024-06-14,2024-06-14,,10派5.367元(含税),2023年报
2024-10-25,中期分红,,,3.4626,2024-10-31,2024-11-01,2024-11-01,,10派3.4626元(含税),2024半年报
2025-06-17,年度分红,,,1.9931,2025-06-20,2025-06-23,2025-06-23,,10派1.9931元(含税),2024年报
2025-11-14,中期分红,,,3.062,2025-11-19,2025-11-20,2025-11-20,,10派3.062元(含税),2025半年报
2026-06-05,年度分红,,,2.2295,2026-06-12,2026-06-15,2026-06-15,,10派2.2295元(含税),2025年报
