实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2003-10-29,中期分红,,,1.3,2003-11-03,2003-11-04,2003-11-10,,10派1.30元(含税),2003半年报
2003-10-29,年度分红,,,2.23,2003-11-03,2003-11-04,2003-11-10,,10派2.23元(含税),2002年报
2004-05-17,年度分红,,2.0,0.1,2004-05-20,2004-05-21,2004-05-27,,10转增2股派0.1元(含税),2003年报
2005-05-27,年度分红,,,1.0,2005-06-01,2005-06-02,2005-06-08,,10派1元(含税),2004年报
2006-03-27,年度分红,,,1.1,2006-03-30,2006-03-31,2006-04-06,,10派1.10元（含税）,2005年报
2007-04-11,年度分红,,,1.1,2007-04-16,2007-04-17,2007-04-23,,10派1.1元（含税）,2006年报
2008-04-28,年度分红,,,1.1,2008-05-05,2008-05-06,2008-05-12,,10派1.1元（含税）,2007年报
2009-06-10,年度分红,,,1.3,2009-06-15,2009-06-16,2009-06-22,,10派1.3元（含税）,2008年报
2010-05-14,年度分红,,,1.3,2010-05-19,2010-05-20,2010-05-26,,10派1.3元（含税）,2009年报
2011-04-16,年度分红,,,2.0,2011-04-20,2011-04-21,2011-04-25,,10派2元(含税),2010年报
2012-05-11,年度分红,,,2.5,2012-05-17,2012-05-18,2012-05-25,,10派2.5元(含税),2011年报
2013-07-18,年度分红,,3.0,4.7,2013-07-23,2013-07-24,2013-07-30,2013-07-25,10转增3股派4.7元(含税),2012年报
2014-07-04,年度分红,,,4.35,2014-07-09,2014-07-10,2014-07-10,,10派4.35元(含税),2013年报
2015-07-02,年度分红,,2.0,4.35,2015-07-07,2015-07-08,2015-07-08,,10转增2股派4.35元(含税),2014年报
2016-07-02,年度分红,,,3.63,2016-07-07,2016-07-08,2016-07-08,,10派3.63元(含税),2015年报
2017-06-23,年度分红,,2.0,1.81,2017-06-28,2017-06-29,2017-06-29,,10转增2股派1.81元(含税),2016年报
2018-06-21,年度分红,,,1.51,2018-06-28,2018-06-29,2018-06-29,,10派1.51元(含税),2017年报
2019-07-03,年度分红,,,1.74,2019-07-10,2019-07-11,2019-07-11,,10派1.74元(含税),2018年报
2020-06-12,年度分红,,,2.49,2020-06-18,2020-06-19,2020-06-19,,10派2.49元(含税),2019年报
2021-07-05,年度分红,,,3.01,2021-07-08,2021-07-09,2021-07-09,,10派3.01元(含税),2020年报
2022-05-30,年度分红,,,3.38,2022-06-07,2022-06-08,2022-06-08,,10派3.38元(含税),2021年报
2023-06-13,年度分红,,,3.83,2023-06-20,2023-06-21,2023-06-21,,10派3.83元(含税),2022年报
2024-06-14,年度分红,,,3.84,2024-06-20,2024-06-21,2024-06-21,,10派3.84元(含税),2023年报
2025-01-16,中期分红,,,1.0,2025-01-21,2025-01-22,2025-01-22,,10派1元(含税),2024半年报
2025-06-20,年度分红,,,3.05,2025-06-25,2025-06-26,2025-06-26,,10派3.05元(含税),2024年报
2026-01-17,中期分红,,,1.0,2026-01-22,2026-01-23,2026-01-23,,10派1元(含税),2025半年报
