常用指标,每股净资产,6.813148,6.591414,6.603671,6.522173,6.433007,6.349555,6.344739,6.156826,6.068766,5.874915,5.944837,5.750036,5.578786,5.418418,5.540001,5.352293,5.308447,5.164691,5.122777,4.916279,4.917087,4.745892,4.641563,4.506561,4.569072,4.394748,4.28507,4.108005,4.145547,4.102725,,,,3.422907,3.232399,2.989651,2.802344,2.697848,,,,,1.793558,2.939984,0.532959,0.336154,0.03906,-0.248153
常用指标,每股现金流,-0.231245,-2.023076,0.902173,0.132539,2.652191,1.165324,0.352284,1.591966,0.852659,2.888613,3.715563,3.054157,2.135862,0.355486,-0.098962,1.763643,-0.939384,0.140449,0.489093,-0.464331,-2.068782,1.139912,1.150564,-0.558865,-1.113559,-0.871302,-1.035187,-1.014662,-0.275323,-0.472798,,,,0.424657,0.693157,3.882849,2.397781,2.662164,,,,,-0.708047,8.591678,,,,
常用指标,净资产收益率(ROE),3.05,7.94,8.6925,5.44,3.02,7.62,8.88,5.52,2.97,7.33,9.0825,5.55,2.89,6.97,8.7825,5.36,2.86,10.63,9.78,6.03,3.34,11.58,9.78,5.94,3.4275,12.38,10.4925,6.46,3.7075,12.86,11.04,6.99,3.89,13.33,7.19,13.59,7.32,14.63,,,,16.93,6.57,,,,,
常用指标,总资产报酬率(ROA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,毛利率,53.132846,29.529724,45.656393,39.980242,42.339963,21.904667,38.617543,34.267327,37.532277,21.658466,38.440863,34.268403,39.670747,21.161482,37.232116,33.408801,40.619077,32.677693,35.030571,32.444368,38.366349,32.467779,38.251226,30.813173,34.425062,35.938222,40.740257,37.464871,43.579761,40.798957,48.799591,49.890572,55.231384,45.454219,49.651382,42.328115,46.014997,42.20289,46.642209,,48.069886,,35.859439,30.5584,8.888144,11.453834,-7.758061,-111.498713
常用指标,销售净利率,44.706123,31.30591,41.462709,37.179212,38.567424,25.825207,37.939317,34.394142,35.723073,25.209041,37.331872,34.081657,37.129523,23.596875,34.946711,32.703376,37.511047,30.029519,32.726867,30.537801,34.603701,31.106502,35.148781,29.630525,30.233227,32.617547,36.031006,33.133935,35.732848,32.753539,38.247471,39.598893,49.543042,35.207337,38.838388,32.653617,35.818422,32.405617,,,,,28.036627,16.330727,7.877593,13.042325,2.551191,-67.924581
常用指标,期间费用率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,资产负债率,91.290287,91.031781,90.750764,91.704176,91.894476,91.695266,91.311779,91.459633,91.534793,91.655084,91.568388,91.755581,91.932434,91.60916,91.485394,91.877323,91.90275,91.857114,91.88659,92.186376,92.28484,92.698725,93.085639,93.113474,92.510365,92.606347,92.500902,92.578064,92.279544,92.744041,92.625889,92.927058,92.880208,92.862664,92.342987,92.411959,92.084063,91.828659,91.576248,,91.427039,,91.169389,96.252191,98.567225,99.20179,99.920743,100.49625
每股指标,基本每股收益,0.21,0.52,0.57,0.36,0.2,0.47,0.55,0.34,0.18,0.42,0.52,0.31,0.16,0.37,0.48,0.29,0.15,0.53,0.49,0.3,0.16,0.53,0.45,0.27,0.15,0.52,0.44,0.27,0.15,0.48,0.41,0.25,0.14,0.43,0.22,0.39,0.2,0.37,,0.34,,0.33,0.24,,,,,
每股指标,稀释每股收益,0.17,0.45,0.49,0.3,0.17,0.41,0.47,0.29,0.15,0.37,0.45,0.27,0.14,0.33,0.41,0.26,0.14,0.48,0.44,0.27,0.15,0.51,0.44,0.27,0.15,0.52,0.44,0.27,0.15,0.48,0.41,0.25,0.14,0.43,0.22,0.39,0.2,0.37,,,,0.33,0.24,,,,,
