实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2007-05-15,年度分红,,,2.6,2007-05-18,2007-05-21,2007-05-25,,10派2.6元（含税）,2006年报
2008-05-19,年度分红,,,3.2,2008-05-26,2008-05-27,2008-05-30,,10派3.2元（含税）,2007年报
2009-06-05,年度分红,,,4.5,2009-06-10,2009-06-11,2009-06-17,,10派4.5元（含税）,2008年报
2010-04-06,年度分红,,,5.0,2010-04-09,2010-04-12,2010-04-15,,10派5元（含税）,2009年报
2011-04-28,年度分红,,8.0,4.6,2011-05-05,2011-05-06,2011-05-12,2011-05-09,10转增8股派4.6元(含税),2010年报
2012-04-26,年度分红,,,3.7,2012-05-04,2012-05-07,2012-05-11,,10派3.7元(含税),2011年报
2013-06-26,年度分红,5.0,,5.7,2013-07-02,2013-07-03,2013-07-09,2013-07-04,10送5股派5.7元(含税),2012年报
2014-07-12,年度分红,,,4.6,2014-07-17,2014-07-18,2014-07-18,,10派4.6元(含税),2013年报
2015-05-21,年度分红,,,5.7,2015-05-26,2015-05-27,2015-05-27,,10派5.7元(含税),2014年报
2016-05-31,年度分红,,,6.1,2016-06-03,2016-06-06,2016-06-06,,10派6.1元(含税),2015年报
2017-06-07,年度分红,,,6.1,2017-06-13,2017-06-14,2017-06-14,,10派6.1元(含税),2016年报
2018-06-08,年度分红,,,6.5,2018-06-14,2018-06-15,2018-06-15,,10派6.5元(含税),2017年报
2019-06-11,年度分红,,,6.9,2019-06-18,2019-06-19,2019-06-19,,10派6.9元(含税),2018年报
2020-07-08,年度分红,,,7.62,2020-07-14,2020-07-15,2020-07-15,,10派7.62元(含税),2019年报
2021-06-23,年度分红,,,8.02,2021-06-28,2021-06-29,2021-06-29,,10派8.02元(含税),2020年报
2022-06-09,年度分红,,,10.35,2022-06-15,2022-06-16,2022-06-16,,10派10.35元(含税),2021年报
2023-06-13,年度分红,,,11.88,2023-06-16,2023-06-19,2023-06-19,,10派11.88元(含税),2022年报
2024-07-03,年度分红,,,10.4,2024-07-08,2024-07-09,2024-07-09,,10派10.4元(含税),2023年报
2025-06-16,年度分红,,,10.6,2025-06-19,2025-06-20,2025-06-20,,10派10.6元(含税),2024年报
2026-02-02,中期分红,,,5.65,2026-02-05,2026-02-06,2026-02-06,,10派5.65元(含税),2025半年报
2026-06-08,年度分红,,,5.01,2026-06-11,2026-06-12,2026-06-12,,10派5.01元(含税),2025年报
