实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2017-05-16,年度分红,,,1.8,2017-05-22,2017-05-23,2017-05-23,,10派1.8元(含税),2016年报
2018-05-11,年度分红,,,1.8,2018-05-17,2018-05-18,2018-05-18,,10派1.8元(含税),2017年报
2019-05-28,年度分红,,,1.8,2019-06-04,2019-06-05,2019-06-05,,10派1.8元(含税),2018年报
2020-07-07,年度分红,,,2.0,2020-07-13,2020-07-14,2020-07-14,,10派2元(含税),2019年报
2021-05-19,年度分红,,,2.0,2021-05-25,2021-05-26,2021-05-26,,10派2元(含税),2020年报
2022-05-31,年度分红,,,2.0,2022-06-07,2022-06-08,2022-06-08,,10派2元(含税),2021年报
2023-05-26,年度分红,,,2.5,2023-06-02,2023-06-05,2023-06-05,,10派2.5元(含税),2022年报
2024-05-22,年度分红,,1.0,2.5,2024-05-28,2024-05-29,2024-05-29,,10转增1股派2.5元(含税),2023年报
2025-05-28,年度分红,,1.0,2.5,2025-06-04,2025-06-05,2025-06-05,,10转增1股派2.5元(含税),2024年报
2025-09-02,中期分红,,,1.5,2025-09-05,2025-09-08,2025-09-08,,10派1.5元(含税),2025半年报
2026-06-03,年度分红,,1.0,1.2,2026-06-08,2026-06-09,2026-06-09,,10转增1股派1.2元(含税),2025年报
