实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2003-07-08,年度分红,,,1.2,2003-07-15,2003-07-16,2003-07-23,,10派1.2元(含税),2002年报
2004-04-28,年度分红,,2.0,0.92,2004-05-10,2004-05-11,2004-05-17,,10转增2股派0.92元（含税）,2003年报
2005-06-14,年度分红,,5.0,1.1,2005-06-17,2005-06-20,2005-06-24,,10转增5股派1.1元（含税）,2004年报
2006-02-22,股改分红,,0.8589,,2006-02-23,2006-02-24,,,10转增0.8589股,2005年报
2006-06-12,年度分红,,,0.8,2006-06-15,2006-06-16,2006-06-21,,10派0.8元（含税）,2005年报
2006-09-15,特别分红,,,1.8,2006-09-20,2006-09-21,2006-09-27,,10派1.8元(含税),
2007-06-28,年度分红,,,1.2,2007-07-03,2007-07-04,2007-07-10,,10派1.20元（含税）,2006年报
2008-07-22,年度分红,,,2.8,2008-07-25,2008-07-28,2008-08-01,,10派2.8元（含税）,2007年报
2009-06-29,年度分红,3.0,,1.0,2009-07-02,2009-07-03,2009-07-09,2009-07-06,10送3股派1元（含税）,2008年报
2010-06-25,年度分红,,,2.1,2010-06-30,2010-07-01,2010-07-08,,10派2.1元（含税）,2009年报
2011-06-03,年度分红,,,2.9,2011-06-09,2011-06-10,2011-06-16,,10派2.9元(含税),2010年报
2012-06-01,年度分红,,,4.2,2012-06-06,2012-06-07,2012-06-13,,10派4.2元(含税),2011年报
2013-06-04,年度分红,,,6.3,2013-06-07,2013-06-13,2013-06-19,,10派6.3元(含税),2012年报
2014-07-03,年度分红,,,6.2,2014-07-10,2014-07-11,2014-07-11,,10派6.2元(含税),2013年报
2015-06-25,年度分红,,,6.7,2015-07-02,2015-07-03,2015-07-03,,10派6.7元(含税),2014年报
2016-07-05,年度分红,,,6.9,2016-07-12,2016-07-13,2016-07-13,,10派6.9元(含税),2015年报
2017-06-06,年度分红,,,7.4,2017-06-13,2017-06-14,2017-06-14,,10派7.4元(含税),2016年报
2018-07-05,年度分红,,,8.4,2018-07-11,2018-07-12,2018-07-12,,10派8.4元(含税),2017年报
2019-07-05,年度分红,,,9.4,2019-07-11,2019-07-12,2019-07-12,,10派9.4元(含税),2018年报
2020-07-03,年度分红,,,12.0,2020-07-09,2020-07-10,2020-07-10,,10派12元(含税),2019年报
2021-07-06,年度分红,,,12.53,2021-07-12,2021-07-13,2021-07-13,,10派12.53元(含税),2020年报
2022-07-08,年度分红,,,15.22,2022-07-14,2022-07-15,2022-07-15,,10派15.22元(含税),2021年报
2023-07-06,年度分红,,,17.38,2023-07-12,2023-07-13,2023-07-13,,10派17.38元(含税),2022年报
2024-07-04,年度分红,,,19.72,2024-07-10,2024-07-11,2024-07-11,,10派19.72元(含税),2023年报
2025-07-04,年度分红,,,20.0,2025-07-10,2025-07-11,2025-07-11,,10派20元(含税),2024年报
2026-01-10,中期分红,,,10.13,2026-01-15,2026-01-16,2026-01-16,,10派10.13元(含税),2025半年报
2026-07-04,年度分红,,,10.03,2026-07-09,2026-07-10,2026-07-10,,10派10.03元(含税),2025年报
