实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2001-05-24,年度分红,,3.0,2.0,2001-05-30,2001-05-31,2001-06-08,,10转增3股派2元(含税),2000年报
2002-06-13,年度分红,1.5,,0.7,2002-06-18,2002-06-19,2002-06-26,,10送1.5股派0.7元(含税),2001年报
2003-04-08,年度分红,2.0,1.0,0.6,2003-04-11,2003-04-14,2003-04-18,,10送2转增1股派0.60元（含税）,2002年报
2004-04-13,年度分红,2.0,1.5,1.2,2004-04-16,2004-04-19,2004-04-23,,10送2转增1.5股派1.2元(含税),2003年报
2005-04-12,年度分红,2.0,,0.7,2005-04-15,2005-04-18,2005-04-22,,10送2股派0.70元（含税）,2004年报
2005-10-21,股改分红,,1.55,,2005-10-24,2005-10-25,,,10转增1.55股,2005三季报
2006-04-11,年度分红,1.5,2.5,0.5,2006-04-14,2006-04-17,2006-04-21,,10送1.5转增2.5股派0.5元(含税),2005年报
2007-06-05,年度分红,,1.9,,2007-06-08,2007-06-11,,,10转增1.9股,2006年报
2008-03-31,年度分红,2.0,1.0,0.5,2008-04-03,2008-04-07,2008-04-11,2008-04-08,10送2转增1股派0.5元（含税）,2007年报
2009-05-20,年度分红,,,0.8,2009-05-25,2009-05-26,2009-06-03,,10派0.8元（含税）,2008年报
2010-07-09,年度分红,2.0,,0.5,2010-07-14,2010-07-15,2010-07-22,2010-07-16,10送2股派0.50元（含税）,2009年报
2011-06-01,年度分红,,,1.0,2011-06-08,2011-06-09,2011-06-14,,10派1元(含税),2010年报
2012-06-19,年度分红,,,3.0,2012-06-25,2012-06-26,2012-06-29,,10派3元(含税),2011年报
2012-08-28,中期分红,,,1.5,2012-08-31,2012-09-03,2012-09-06,,10派1.5元(含税),2012半年报
2013-06-20,年度分红,,,1.5,2013-06-26,2013-06-27,2013-07-04,,10派1.5元(含税),2012年报
2013-09-03,中期分红,,,1.58,2013-09-09,2013-09-10,2013-09-17,,10派1.58元(含税),2013半年报
2014-06-18,年度分红,2.0,,1.0,2014-06-24,2014-06-25,2014-06-25,2014-06-26,10送2股派1元(含税),2013年报
2014-12-31,中期分红,,,0.75,2015-01-08,2015-01-09,2015-01-09,,10派0.75元(含税),2014半年报
2015-07-01,年度分红,,,1.1,2015-07-06,2015-07-07,2015-07-07,,10派1.1元(含税),2014年报
2016-02-20,中期分红,,,0.75,2016-02-25,2016-02-26,2016-02-26,,10派0.75元（含税）,2015半年报
2016-06-18,年度分红,,,1.6,2016-06-23,2016-06-24,2016-06-24,,10派1.6元(含税),2015年报
2016-09-20,中期分红,,,1.15,2016-09-23,2016-09-26,2016-09-26,,10派1.15元(含税),2016半年报
2017-06-30,年度分红,,,1.65,2017-07-05,2017-07-06,2017-07-06,,10派1.65元(含税),2016年报
2017-09-20,中期分红,,,1.2,2017-09-25,2017-09-26,2017-09-26,,10派1.2元(含税),2017半年报
2018-06-29,年度分红,,2.0,0.9,2018-07-04,2018-07-05,2018-07-05,,10转增2股派0.9元(含税),2017年报
2019-06-29,年度分红,,,3.45,2019-07-04,2019-07-05,2019-07-05,,10派3.45元(含税),2018年报
2020-07-07,年度分红,,,3.7,2020-07-10,2020-07-13,2020-07-13,,10派3.7元(含税),2019年报
2021-06-18,年度分红,,,2.13,2021-06-23,2021-06-24,2021-06-24,,10派2.13元(含税),2020年报
2022-06-18,年度分红,,,2.13,2022-06-23,2022-06-24,2022-06-24,,10派2.13元(含税),2021年报
2023-06-16,年度分红,,,2.14,2023-06-21,2023-06-26,2023-06-26,,10派2.14元(含税),2022年报
2024-07-04,年度分红,,,2.16,2024-07-11,2024-07-12,2024-07-12,,10派2.16元(含税),2023年报
2024-11-05,中期分红,,,1.3,2024-11-12,2024-11-13,2024-11-13,,10派1.3元(含税),2024半年报
2025-07-04,年度分红,,,0.62,2025-07-11,2025-07-14,2025-07-14,,10派0.62元(含税),2024年报
2025-09-10,中期分红,,,1.36,2025-09-15,2025-09-16,2025-09-16,,10派1.36元(含税),2025半年报
2026-06-26,年度分红,,,0.53,2026-07-01,2026-07-02,2026-07-02,,10派0.53元(含税),2025年报
