常用指标,每股净资产,8.108387,7.96139,7.779779,7.70071,7.666603,7.552507,7.157869,7.00785,7.030824,7.104395,6.72499,6.560644,6.559805,6.406622,6.097136,5.897976,5.933511,5.831603,5.56941,5.468763,5.507182,5.419877,5.241024,5.194529,5.353855,5.247708,5.053451,4.940047,5.864329,5.7187,5.410876,5.312806,5.302869,5.17654,5.024186,4.912064,5.000835,4.952009,4.861037,4.847562,4.742667,4.643605,,4.208417,,5.02253,4.370573,4.353492,3.727471,2.979193,3.88604,3.398546,2.994007,2.16341,3.060941
常用指标,每股现金流,-0.650283,-0.966385,-1.385684,-2.376795,1.138671,1.4972,1.557736,-0.32942,-1.881054,-0.184203,-1.56641,-1.900333,-0.147123,0.18029,0.182334,0.216493,-0.003981,1.875865,-1.203108,-0.420564,1.810269,1.54138,-0.340448,-0.476772,-0.405372,5.27926,2.086944,2.659903,0.197408,-6.731274,-5.357826,-4.043442,0.140336,1.150771,1.714691,0.530287,0.171068,8.103646,3.456989,1.368445,2.088821,5.698931,,-0.447337,,3.21612,-2.039161,11.63441,-3.253289,3.896072,3.83024,0.577847,1.907495,2.896601,
常用指标,净资产收益率(ROE),1.85,10.71,6.79,4.49,1.91,11.55,6.56,4.25,2.09,12.55,7.19,4.48,2.15,11.87,6.87,4.34,2.09,10.15,6.08,3.82,1.87,8.85,5.43,3.43,1.77,9.1,5.84,3.72,1.82,8.92,5.76,3.94,1.98,9.1,5.84,4.04,1.99,9.92,6.75,4.89,2.42,12.13,,5.83,3.15,14.12,19.64,21.99,23.44,28.52,26.49,32.66,,,
常用指标,总资产报酬率(ROA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,毛利率,33.3187,56.540112,44.041053,39.243977,34.465114,55.010819,36.505541,31.363383,30.493414,47.769909,30.151825,23.438996,26.412231,44.691073,27.872479,24.263808,29.433722,39.982534,27.03717,24.827004,66.338376,67.382043,70.553686,69.950873,70.067127,67.223719,28.142155,24.012359,14.924652,21.674235,17.139411,24.082221,26.07449,35.208905,25.082718,27.447818,31.66886,32.965755,30.115454,32.458998,28.151211,35.4332,33.010867,34.10138,37.621552,36.425924,51.879567,51.69175,57.028683,64.13414,62.281697,56.530936,72.734419,63.111471,38.101047
常用指标,销售净利率,29.481342,49.045842,39.262372,34.591898,31.279177,51.036374,37.314651,33.463036,33.074813,52.263104,37.987445,35.488196,29.970979,42.775602,30.91123,28.180666,27.617815,38.159865,30.93331,29.235764,27.384053,31.931892,25.84864,24.521099,24.739843,29.720157,24.714229,23.586634,22.066617,24.486716,20.429713,23.378182,29.930747,30.238482,28.20263,29.032175,32.412916,31.075912,27.997732,30.530396,29.469777,32.541016,29.748787,31.978898,34.227815,36.041029,44.88175,42.45051,46.732332,51.64081,49.05698,43.925068,49.150596,43.727581,67.557055
常用指标,期间费用率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,资产负债率,90.963581,90.956447,90.67908,90.749517,90.758879,90.581552,90.407428,90.609527,90.557344,91.358383,91.355268,91.577393,91.629566,91.457536,91.585356,91.688192,91.521441,91.402165,91.34132,91.548925,91.356848,91.4124,91.226642,91.210337,90.811071,90.60253,90.58125,91.074369,90.838715,90.736945,91.127265,91.020691,91.142625,91.450032,91.497765,91.473759,91.275647,91.34081,91.409857,91.808962,91.853935,91.695067,,91.741988,,92.166816,92.490882,92.952058,92.155964,93.267181,93.46319,93.232937,94.456467,95.219591,96.292961
每股指标,基本每股收益,0.1489,0.8326,0.5194,0.3437,0.1452,0.8357,0.4641,0.3006,0.1479,0.8693,0.4861,0.3022,0.1428,0.744,0.4221,0.2646,0.1266,0.5864,0.3449,0.2167,0.105,0.4866,0.2985,0.1878,0.0967,0.4971,0.3196,0.1874,0.0914,0.4043,0.2546,0.2079,0.1036,0.4574,0.2899,0.1994,0.0989,0.4779,0.3227,0.2322,0.1135,0.5228,0.3503,0.2389,0.1276,0.525,0.6417,0.7907,0.7806,0.7543,0.9118,0.96,,,
每股指标,稀释每股收益,0.1489,0.8326,0.5194,0.3437,0.1452,0.7869,0.4393,0.2856,0.1406,0.7535,0.4268,0.2656,0.1256,0.6536,0.376,0.2359,0.1148,0.5178,0.3083,0.1943,0.0949,0.4355,0.2703,0.1706,0.0864,0.4396,0.2829,0.1687,0.0823,0.3645,0.2328,0.196,0.1036,0.4574,0.2899,0.1994,0.0989,0.4779,0.3227,0.2322,0.1135,0.5228,0.3503,0.2389,0.1276,0.525,0.6417,0.7907,0.7806,0.7543,0.9118,0.96,,,
