实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2017-07-12,年度分红,,3.0,5.0,2017-07-19,2017-07-20,2017-07-20,,10转增3股派5元(含税),2016年报
2018-07-09,年度分红,,4.0,5.0,2018-07-16,2018-07-17,2018-07-17,,10转增4股派5元(含税),2017年报
2019-06-25,年度分红,,3.0,4.5,2019-07-02,2019-07-03,2019-07-03,,10转增3股派4.5元(含税),2018年报
2020-07-01,年度分红,,,4.0,2020-07-07,2020-07-08,2020-07-08,,10派4元(含税),2019年报
2021-06-30,年度分红,,,4.0,2021-07-05,2021-07-06,2021-07-06,,10派4元(含税),2020年报
2022-07-02,年度分红,,,4.0,2022-07-07,2022-07-08,2022-07-08,,10派4元(含税),2021年报
2023-06-20,年度分红,,,4.0,2023-06-27,2023-06-28,2023-06-28,,10派4元(含税),2022年报
2024-06-20,年度分红,,,4.6,2024-06-26,2024-06-27,2024-06-27,,10派4.6元(含税),2023年报
2024-11-22,中期分红,,,2.8,2024-11-27,2024-11-28,2024-11-28,,10派2.8元(含税),2024半年报
2025-06-06,年度分红,,,2.2,2025-06-11,2025-06-12,2025-06-12,,10派2.2元(含税),2024年报
2025-10-10,中期分红,,,3.0,2025-10-15,2025-10-16,2025-10-16,,10派3元(含税),2025半年报
2026-06-02,年度分红,,,2.2,2026-06-05,2026-06-08,2026-06-08,,10派2.2元(含税),2025年报
