实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1992-03-14,年度分红,5.0,0.0,2.0,1992-03-20,1992-03-23,,,10派2元送5股,1991年报
1993-05-09,年度分红,3.5,5.0,3.0,1993-05-21,1993-05-24,1993-05-24,,10送3.5转增5股派3元,1992年报
1994-07-02,年度分红,3.0,2.0,5.0,1994-07-08,1994-07-11,1994-07-14,,10送3转增2股派5元,1993年报
1995-09-15,年度分红,2.0,0.0,3.0,1995-09-22,1995-09-25,,,10送2股派3.00元,1994年报
1996-05-23,年度分红,5.0,5.0,0.0,1996-05-24,1996-05-27,,,10送5转增5股,1995年报
1997-08-19,年度分红,5.0,0.0,2.0,1997-08-22,1997-08-25,1997-08-29,,10送5股派2.00元(含税),1996年报
1999-10-11,中期分红,0.0,,6.0,1999-10-15,1999-10-18,1999-10-22,,10派6元（含税）,1999半年报
2002-07-17,年度分红,,,1.5,2002-07-22,2002-07-23,2002-07-23,,10派1.5元(含税),2001年报
2003-09-23,年度分红,,,1.5,2003-09-26,2003-09-29,2003-09-29,,10股派1.5元（含税）,2002年报
2007-06-14,股改分红,1.0,,0.09,2007-06-15,2007-06-20,2007-06-20,2007-06-20,10送1股派0.09元（含税）,
2008-10-24,中期分红,3.0,,0.335,2008-10-30,2008-10-31,2008-10-31,2008-10-31,10送3股派0.335元（含税）,2008半年报
2012-10-12,中期分红,,,1.0,2012-10-18,2012-10-19,2012-10-19,,10派1元(含税),2012半年报
2013-06-14,年度分红,6.0,,1.7,2013-06-19,2013-06-20,2013-06-20,2013-06-20,10送6股派1.7元(含税),2012年报
2014-06-06,年度分红,,2.0,1.6,2014-06-11,2014-06-12,2014-06-12,2014-06-12,10转增2股派1.6元(含税),2013年报
2015-04-07,年度分红,,2.0,1.74,2015-04-10,2015-04-13,2015-04-13,2015-04-13,10转增2股派1.74元(含税),2014年报
2016-06-08,年度分红,,2.0,1.53,2016-06-15,2016-06-16,2016-06-16,2016-06-16,10转增2股派1.53元(含税),2015年报
2017-07-17,年度分红,,,1.58,2017-07-20,2017-07-21,2017-07-21,,10派1.58元(含税),2016年报
2018-07-06,年度分红,,,1.36,2018-07-11,2018-07-12,2018-07-12,,10派1.36元(含税),2017年报
2019-06-20,年度分红,,,1.45,2019-06-25,2019-06-26,2019-06-26,,10派1.45元(含税),2018年报
2020-05-22,年度分红,,,2.18,2020-05-27,2020-05-28,2020-05-28,,10派2.18元(含税),2019年报
2021-05-07,年度分红,,,1.8,2021-05-13,2021-05-14,2021-05-14,,10派1.8元(含税),2020年报
2022-07-15,年度分红,,,2.28,2022-07-21,2022-07-22,2022-07-22,,10派2.28元(含税),2021年报
2023-06-07,年度分红,,,2.85,2023-06-13,2023-06-14,2023-06-14,,10派2.85元(含税),2022年报
2024-06-06,年度分红,,,7.19,2024-06-13,2024-06-14,2024-06-14,,10派7.19元(含税),2023年报
2024-09-26,中期分红,,,2.46,2024-10-09,2024-10-10,2024-10-10,,10派2.46元(含税),2024半年报
2025-06-05,年度分红,,,3.62,2025-06-11,2025-06-12,2025-06-12,,10派3.62元(含税),2024年报
2025-09-30,中期分红,,,2.36,2025-10-14,2025-10-15,2025-10-15,,10派2.36元(含税),2025半年报
2026-06-05,年度分红,,,3.6,2026-06-11,2026-06-12,2026-06-12,,10派3.6元(含税),2025年报
