实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2019-05-24,年度分红,,,1.0,2019-05-30,2019-05-31,2019-05-31,,10派1元(含税),2018年报
2020-05-14,年度分红,,,1.0,2020-05-20,2020-05-21,2020-05-21,,10派1元(含税),2019年报
2021-06-07,年度分红,,,1.0,2021-06-11,2021-06-15,2021-06-15,,10派1元(含税),2020年报
2022-06-07,年度分红,,,1.0,2022-06-10,2022-06-13,2022-06-13,,10派1元(含税),2021年报
2023-06-09,年度分红,,,1.0,2023-06-15,2023-06-16,2023-06-16,,10派1元(含税),2022年报
2024-05-30,年度分红,,,1.0,2024-06-05,2024-06-06,2024-06-06,,10派1元(含税),2023年报
2025-01-15,中期分红,,,0.5,2025-01-21,2025-01-22,2025-01-22,,10派0.5元(含税),2024半年报
2025-05-29,年度分红,,,0.5,2025-06-05,2025-06-06,2025-06-06,,10派0.5元(含税),2024年报
2026-01-29,中期分红,,,0.5,2026-02-04,2026-02-05,2026-02-05,,10派0.5元(含税),2025半年报
2026-06-02,年度分红,,,0.5,2026-06-08,2026-06-09,2026-06-09,,10派0.5元(含税),2025年报
