常用指标,每股净资产,17.781566,17.301321,16.881276,17.113485,16.780898,16.461948,15.931531,15.867255,15.829903,15.362887,14.912376,14.644847,14.498846,14.129335,13.814599,13.463702,13.430629,13.013654,12.703964,12.384335,12.287131,11.997351,11.745217,11.451852,11.427301,11.03376,10.79272,13.47852,13.373703,12.931744,12.624473,17.004769,16.84536,16.273567,15.909378,20.115436,19.958121,19.28057,19.125229,18.370247,17.773313,17.096687,16.464894,15.850742,15.724987,13.215595,9.908828,9.099505,8.296885,7.469073,6.964357,6.77049,6.476481,8.273881,7.600296,7.246197,6.334781,5.677445,5.248443,4.746575,4.129137,3.96845,3.044796,2.807273,,3.302165,3.165432,2.987622,2.798,2.603985,2.160249,2.072851,1.701995
常用指标,每股现金流,-0.009568,-4.768913,-10.86723,-9.204186,-10.12614,0.287297,1.680939,-0.265404,0.523392,0.28439,-2.559291,-0.35446,0.267741,1.773171,0.637088,2.666783,2.153277,-0.778422,0.731215,2.470647,-1.01646,0.877902,1.067733,5.038869,2.505755,-0.558362,-0.883208,4.669477,0.295146,-1.988725,-7.485571,-10.220634,-10.581353,-7.784904,-11.096075,-11.969214,-3.916001,28.453215,19.415203,17.448238,4.927782,11.129362,5.589359,4.931992,22.542787,30.593692,0.916194,3.452952,2.313765,2.0038,2.598907,-1.862606,,9.074136,-2.040658,10.758898,1.866014,-0.449372,3.233875,8.107022,6.043363,3.098405,-6.816799,,,9.935288,3.320441,,2.162613,6.344498,,,
常用指标,净资产收益率(ROE),2.54,9.69,7.53,5.5,2.66,10.01,7.7925,5.75,2.77,10.36,8.3475,6.18,2.97,11.0,8.9475,6.63,3.11,11.8,9.42,6.965,3.215,12.09,9.2475,6.85,3.2825,12.94,11.055,7.31,3.495,12.67,10.725,7.11,3.4025,12.63,9.675,6.51,3.29,14.35,11.145,7.63,3.86,15.67,12.2925,,18.44,20.51,19.53,10.41,18.02,10.21,18.71,,,,,,,,,,,,,,,,10.05,13.3,,,,,
常用指标,总资产报酬率(ROA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,毛利率,54.465444,51.850355,51.468455,58.602072,54.112299,51.527948,51.999457,58.436344,55.510423,51.477849,50.235153,56.099741,51.761091,45.234679,44.236595,48.839431,43.511192,41.895872,43.056288,48.82224,44.302485,43.986373,42.322442,47.968218,43.121568,44.639121,48.300497,47.731517,43.156339,43.484315,48.209153,50.278341,50.359095,48.258793,48.852171,52.301403,50.427531,47.119338,46.970815,48.852691,47.091865,48.005526,49.906474,52.058428,50.070529,53.842037,52.724067,54.463418,47.114874,48.062842,43.866008,44.541993,46.524569,41.670456,40.693451,35.470971,50.882707,48.609715,9.50756,47.866976,7.179583,43.334024,44.328778,12.552544,,30.404402,24.295596,39.437093,11.111111,1.972062,4.460093,41.259765,33.11389
常用指标,销售净利率,44.639816,44.141265,43.895452,48.382067,46.274494,44.465798,44.48767,49.406969,46.986645,44.640519,44.228265,48.76657,45.809246,42.020121,41.257582,45.428779,41.195328,39.268016,40.215056,44.387479,40.250124,41.214717,40.166651,43.86991,40.081662,40.828794,43.282873,42.701531,38.685771,41.168219,45.235061,47.538787,48.130546,46.299759,47.683784,50.710496,47.397729,41.631962,41.416825,40.82104,39.217185,39.334994,40.717627,42.548143,40.5719,43.600522,43.478564,45.588264,41.000383,41.968855,38.831648,39.648454,40.922753,38.394062,37.175642,31.355501,43.145408,38.287194,56.015196,38.861067,44.963529,36.872141,31.071743,35.33826,20.086094,26.629193,22.379856,32.984008,56.835016,61.462612,65.023474,43.457031,57.472021
常用指标,期间费用率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,资产负债率,92.205553,92.247056,92.124574,91.989793,92.075611,92.107718,92.341848,92.36174,92.212178,92.252539,92.394968,92.450334,92.360317,92.299926,92.465248,92.461773,92.324056,92.244514,92.407444,92.512166,92.340339,92.24501,92.334102,92.330031,92.003493,92.077776,92.054891,92.250234,91.917946,92.022348,91.910983,92.016692,91.731086,91.844003,92.919415,92.915786,93.251041,93.379256,93.711491,93.837209,93.686879,93.59383,93.646463,93.693863,93.73794,94.239675,94.825387,94.589917,94.620857,94.781876,94.797392,94.567543,94.612702,95.384057,95.265004,94.876728,95.094276,95.222645,95.342509,95.305829,95.912445,95.658564,96.370023,96.679865,,95.559948,95.117503,94.07248,94.1905,94.535619,93.52171,93.262224,93.46843
每股指标,基本每股收益,0.45,1.65,1.27,0.93,0.44,1.6,1.24,0.91,0.43,1.53,1.22,0.9,0.43,1.5,1.21,0.89,0.41,1.48,1.17,0.86,0.39,1.4,1.06,0.78,0.37,1.36,1.15,0.75,0.35,1.2,1.0,0.66,0.4,1.4,1.07,0.71,0.5,2.01,1.55,1.04,0.67,2.47,1.9,1.3,2.46,2.21,1.77,0.91,1.37,0.66,1.21,,,,,,,,,,,,,0.56,,,0.31,0.39,,,,,
每股指标,稀释每股收益,0.39,1.46,1.13,0.82,0.39,1.44,1.11,0.82,0.39,1.37,1.09,0.81,0.38,1.35,1.09,0.8,0.37,1.35,1.07,0.8,0.37,1.4,1.06,0.78,0.37,1.36,1.15,0.75,0.35,1.2,1.0,0.66,0.4,1.4,1.07,0.71,0.5,2.01,1.55,1.04,0.67,2.47,1.9,1.3,2.46,2.21,1.77,,1.37,0.66,1.21,,,,,,,,,,,,,,,,,,,,,,
