实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2019-07-09,年度分红,,,2.0,2019-07-15,2019-07-16,2019-07-16,,10派2元(含税),2018年报
2020-06-23,年度分红,,,2.0,2020-07-01,2020-07-02,2020-07-02,,10派2元(含税),2019年报
2021-05-21,年度分红,,,1.8,2021-05-27,2021-05-28,2021-05-28,,10派1.8元(含税),2020年报
2022-05-24,年度分红,,,1.6,2022-05-30,2022-05-31,2022-05-31,,10派1.6元(含税),2021年报
2023-06-16,年度分红,,,1.6,2023-06-20,2023-06-21,2023-06-21,,10派1.6元(含税),2022年报
2024-06-15,年度分红,,,1.6,2024-06-19,2024-06-20,2024-06-20,,10派1.6元(含税),2023年报
2025-06-19,年度分红,,,1.6,2025-06-25,2025-06-26,2025-06-26,,10派1.6元(含税),2024年报
2026-06-17,年度分红,,,1.8,2026-06-23,2026-06-24,2026-06-24,,10派1.8元(含税),2025年报
