实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2008-06-16,年度分红,,,1.5,2008-06-19,2008-06-20,2008-06-25,,10派1.5元（含税）,2007年报
2008-09-19,中期分红,,,1.0,2008-09-24,2008-09-25,2008-10-22,,10派1元（含税）,2008半年报
2009-05-20,年度分红,,,1.0,2009-05-26,2009-05-27,2009-06-29,,10派1元（含税）,2008年报
2009-09-15,中期分红,,,1.0,2009-09-18,2009-09-21,2009-10-16,,10派1元（含税）,2009半年报
2010-04-29,年度分红,,,1.0,2010-05-05,2010-05-06,2010-05-31,,10派1元（含税）,2009年报
2010-09-07,中期分红,,,1.0,2010-09-10,2010-09-13,2010-10-15,,10派1元（含税）,2010半年报
2011-07-12,年度分红,1.0,,0.2,2011-07-18,2011-07-19,2011-08-18,2011-07-19,10送1股派0.2元(含税),2010年报
2012-05-24,年度分红,,,1.0,2012-05-30,2012-05-31,2012-06-18,,10派1元(含税),2011年报
2013-07-04,年度分红,,,2.4,2013-07-10,2013-07-11,2013-07-31,,10派2.4元(含税),2012年报
2014-07-04,年度分红,,,2.6,2014-07-10,2014-07-11,2014-07-11,,10派2.6元(含税),2013年报
2015-05-27,年度分红,,,2.7,2015-06-02,2015-06-03,2015-06-03,,10派2.7元(含税),2014年报
2016-07-06,年度分红,,,2.7,2016-07-12,2016-07-13,2016-07-13,,10派2.7元(含税),2015年报
2017-06-30,年度分红,,,2.715,2017-07-06,2017-07-07,2017-07-07,,10派2.715元(含税),2016年报
2018-07-10,年度分红,,,2.856,2018-07-13,2018-07-16,2018-07-16,,10派2.856元(含税),2017年报
2019-07-02,年度分红,,,3.0,2019-07-08,2019-07-09,2019-07-09,,10派3元(含税),2018年报
2020-07-08,年度分红,,,3.15,2020-07-13,2020-07-14,2020-07-14,,10派3.15元(含税),2019年报
2021-07-07,年度分红,,,3.17,2021-07-12,2021-07-13,2021-07-13,,10派3.17元(含税),2020年报
2022-07-06,年度分红,,,3.55,2022-07-11,2022-07-12,2022-07-12,,10派3.55元(含税),2021年报
2023-07-06,年度分红,,,3.73,2023-07-11,2023-07-12,2023-07-12,,10派3.73元(含税),2022年报
2024-07-04,年度分红,,,3.75,2024-07-09,2024-07-10,2024-07-10,,10派3.75元(含税),2023年报
2025-01-16,中期分红,,,1.82,2025-01-23,2025-01-24,2025-01-24,,10派1.82元(含税),2024半年报
2025-04-14,年度分红,,,1.97,2025-04-17,2025-04-18,2025-04-18,,10派1.97元(含税),2024年报
2025-12-19,中期分红,,,1.563,2025-12-24,2025-12-25,2025-12-25,,10派1.563元(含税),2025半年报
2026-07-06,年度分红,,,1.684,2026-07-09,2026-07-10,2026-07-10,,10派1.684元(含税),2025年报
