实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2011-06-10,年度分红,,,0.946,2011-06-15,2011-06-16,2011-06-22,,10派0.946元(含税),2010年报
2012-05-25,年度分红,,,1.33,2012-05-30,2012-05-31,2012-06-06,,10派1.33元(含税),2011年报
2013-05-31,年度分红,,,0.58,2013-06-05,2013-06-06,2013-06-17,,10派0.58元(含税),2012年报
2014-07-10,年度分红,,,1.72,2014-07-16,2014-07-17,2014-07-17,,10派1.72元(含税),2013年报
2015-05-27,年度分红,,,1.86,2015-06-02,2015-06-03,2015-06-03,,10派1.86元(含税),2014年报
2016-07-07,年度分红,,,1.9,2016-07-12,2016-07-13,2016-07-13,,10派1.9元(含税),2015年报
2017-06-28,年度分红,,,0.98,2017-07-04,2017-07-05,2017-07-05,,10派0.98元(含税),2016年报
2018-07-21,年度分红,,,1.81,2018-07-26,2018-07-27,2018-07-27,,10派1.81元(含税),2017年报
2019-06-19,年度分红,,,1.61,2019-06-25,2019-06-26,2019-06-26,,10派1.61元(含税),2018年报
2020-06-16,年度分红,,,2.14,2020-06-23,2020-06-24,2020-06-24,,10派2.14元(含税),2019年报
2021-07-13,年度分红,,,2.1,2021-07-20,2021-07-21,2021-07-21,,10派2.1元(含税),2020年报
2022-06-21,年度分红,,,2.01,2022-06-28,2022-06-29,2022-06-29,,10派2.01元(含税),2021年报
2023-07-11,年度分红,,,1.9,2023-07-18,2023-07-19,2023-07-19,,10派1.9元(含税),2022年报
2024-07-16,年度分红,,,1.73,2024-07-23,2024-07-24,2024-07-24,,10派1.73元(含税),2023年报
2025-01-16,中期分红,,,1.04,2025-01-21,2025-01-22,2025-01-22,,10派1.04元(含税),2024半年报
2025-07-18,年度分红,,,0.85,2025-07-23,2025-07-24,2025-07-24,,10派0.85元(含税),2024年报
2026-01-30,中期分红,,,1.05,2026-02-04,2026-02-05,2026-02-05,,10派1.05元(含税),2025半年报
