常用指标,每股净资产,21.703072,20.843347,20.010572,19.472684,19.500065,19.132924,18.492383,17.747129,17.845473,16.986583,16.089635,16.198044,15.357976,14.66886,13.899824,13.24521,13.263399,12.71799,12.050353,11.542882,11.541105,11.082816,10.554684,10.193713,10.270697,9.841757,9.399754,8.975948,9.003146,8.637119,8.277468,7.901078,7.873704,7.67518,7.351684,6.987606,,6.740186,,6.21683,5.578632,4.660237,3.942126,3.361799,2.772295,2.504647,2.392519,2.059683,0.430556,1.084912,0.891414,0.893606,0.549846
常用指标,每股现金流,16.407096,17.662132,13.58767,11.604116,15.138419,-22.596338,-5.229461,-0.925343,-0.255705,-6.228159,-10.672642,-9.020255,-5.510982,2.594443,-4.295484,1.88203,-0.197906,-0.974811,7.555945,5.923257,-0.451037,-0.217262,7.585148,5.099399,-0.464928,6.609627,-4.931405,-3.754624,0.884758,-3.294367,0.727591,0.662167,-6.872843,13.105737,13.245846,4.187466,,4.105363,,2.556617,7.742874,0.727234,7.756864,0.208452,10.734544,-1.461691,3.748242,0.913572,2.477134,,,,
常用指标,净资产收益率(ROE),3.5,15.39,11.4,7.94,3.7,17.81,13.16,9.02,4.26,18.78,13.75,9.54,4.46,19.48,13.88,9.29,4.58,17.6,12.25,8.18,4.09,15.94,11.32,7.45,3.89,16.63,12.23,7.72,3.98,16.04,11.91,7.56,3.81,16.83,12.34,7.4,3.84,12.24,10.63,14.69,21.32,21.08,21.44,24.31,,,,,,,,,
常用指标,总资产报酬率(ROA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,毛利率,59.70367,66.449935,63.395495,64.125116,61.002001,66.255645,61.755513,63.530485,59.758007,64.072651,59.388763,60.634022,56.427856,57.793531,50.810452,51.384326,51.377079,49.209353,43.394921,44.121501,45.761429,46.83198,44.990832,44.943881,45.511805,48.989026,47.723682,45.146314,47.225016,43.936557,43.611723,41.969826,42.598745,48.102799,51.766144,48.500441,50.841556,36.112937,43.417452,37.044332,49.750029,54.004512,56.681322,58.399416,50.18456,58.345933,58.213348,51.384302,43.730974,-6.78919,-31.245089,-11.977097,-21.692515
常用指标,销售净利率,50.934691,56.279723,53.446835,53.926285,51.777526,55.915488,52.425651,53.234671,50.56825,53.782284,48.839273,50.193548,47.610988,49.616709,44.28442,44.598389,44.460197,43.774065,39.071622,39.697657,40.640598,41.288763,40.318901,40.429061,41.251241,43.659935,43.124133,41.05329,42.217135,40.150759,40.372768,39.087815,40.143131,40.530072,43.077381,40.102902,41.255036,29.999368,34.615728,31.490781,38.90302,42.115,45.148424,48.41195,44.480811,44.925626,45.699635,30.601052,19.364381,1.623939,6.665507,14.190203,-3.339452
常用指标,期间费用率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,资产负债率,93.018596,92.896309,92.650291,93.548257,93.358709,93.128282,93.691764,93.816504,93.670973,93.464369,93.612777,93.356551,93.503517,93.306134,93.619992,93.88973,93.472677,93.229336,93.354392,93.510031,93.306886,92.931875,94.021583,93.996092,93.511714,93.61909,93.733556,93.91512,93.593974,93.646754,93.806867,93.960268,93.7247,94.241157,94.151928,93.975016,,93.909416,,93.691281,93.938211,94.178297,94.658185,93.964343,94.043869,92.357355,92.600689,90.865873,98.641203,96.375365,95.274064,94.872991,98.783258
每股指标,基本每股收益,0.74,3.07,2.24,1.57,0.71,3.28,2.37,1.62,0.75,3.01,2.16,1.49,0.68,2.69,1.87,1.23,0.6,2.09,1.42,0.94,0.46,1.67,1.16,0.76,0.39,1.54,1.11,0.69,0.35,1.3,0.95,0.6,0.3,1.2,0.86,0.51,0.26,0.79,0.68,0.87,1.09,0.92,0.78,0.74,,,,,,,,,
每股指标,稀释每股收益,0.74,3.07,2.24,1.56,0.71,2.99,2.15,1.48,0.68,2.76,1.98,1.37,0.62,2.5,1.72,1.16,0.57,2.09,1.42,0.94,0.46,1.67,1.16,0.76,0.39,1.54,1.11,0.69,0.35,1.3,0.95,0.6,0.3,1.2,0.86,0.51,0.26,0.79,0.68,0.87,1.09,0.92,0.78,0.74,,,,,,,,,
每股指标,摊薄每股收益_最新股数,0.74478,3.134055,2.239632,1.561087,0.71061,3.033756,2.132436,1.455019,0.672643,2.753638,1.924419,1.315597,0.59618,2.369359,1.592941,1.051648,0.507387,1.847553,1.210472,0.799637,0.393849,1.421417,0.990971,0.649538,0.3335,1.309657,0.945493,0.590973,0.298835,1.096897,0.80119,0.500888,0.243398,0.922174,0.662975,0.389828,0.202075,0.608121,0.520367,0.66444,0.837134,0.701925,0.59877,0.567225,0.383483,0.178127,0.255637,0.177036,0.074097,0.002923,0.005257,0.010608,-0.00229
每股指标,摊薄每股净资产_期末股数,21.703072,20.843347,20.010572,19.472684,19.500065,19.132924,18.492383,17.747129,17.845473,16.986583,16.089635,16.198044,15.357976,14.66886,13.899824,13.24521,13.263399,12.71799,12.050353,11.542882,11.541105,11.082816,10.554684,10.193713,10.270697,9.841757,9.399754,8.975948,9.003146,8.637119,8.277468,7.901078,7.873704,7.67518,7.351684,6.987606,,6.740186,,6.21683,5.578632,4.660237,3.942126,3.361799,2.772295,2.504647,2.392519,2.059683,0.430556,1.084912,0.891414,0.893606,0.549846
