实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2008-06-18,年度分红,,,0.535,2008-06-24,2008-06-25,2008-07-02,,10派0.535元（含税）,2007年报
2009-07-17,年度分红,,,0.853,2009-07-22,2009-07-23,2009-07-29,,10派0.853元（含税）,2008年报
2010-07-16,年度分红,,,0.88,2010-07-21,2010-07-22,2010-07-28,,10派0.88元（含税）,2009年报
2011-11-07,中期分红,,,0.55,2011-11-10,2011-11-11,2011-11-17,,10派0.55元(含税),2011半年报
2012-07-13,年度分红,,,1.45,2012-07-18,2012-07-19,2012-07-25,,10派1.45元(含税),2011年报
2013-07-12,年度分红,,,1.5,2013-07-17,2013-07-18,2013-07-24,,10派1.5元(含税),2012年报
2014-07-11,年度分红,,,2.52,2014-07-16,2014-07-17,2014-07-17,,10派2.52元(含税),2013年报
2016-07-18,年度分红,,,2.12,2016-07-22,2016-07-25,2016-07-25,,10派2.12元(含税),2015年报
2017-07-17,年度分红,,,2.15,2017-07-21,2017-07-24,2017-07-24,,10派2.15元(含税),2016年报
2018-06-26,年度分红,,,2.61,2018-07-02,2018-07-03,2018-07-03,,10派2.61元(含税),2017年报
2019-07-15,年度分红,,,2.3,2019-07-19,2019-07-22,2019-07-22,,10派2.3元(含税),2018年报
2020-07-08,年度分红,,,2.39,2020-07-14,2020-07-15,2020-07-15,,10派2.39元(含税),2019年报
2021-07-22,年度分红,,,2.54,2021-07-28,2021-07-29,2021-07-29,,10派2.54元(含税),2020年报
2022-07-21,年度分红,,,3.02,2022-07-27,2022-07-28,2022-07-28,,10派3.02元(含税),2021年报
2023-07-13,年度分红,,,3.29,2023-07-19,2023-07-20,2023-07-20,,10派3.29元(含税),2022年报
2024-07-03,年度分红,,,3.261,2024-07-09,2024-07-10,2024-07-10,,10派3.261元(含税),2023年报
2024-12-04,中期分红,,,1.825,2024-12-10,2024-12-11,2024-12-11,,10派1.825元(含税),2024半年报
2025-07-03,年度分红,,,1.722,2025-07-09,2025-07-10,2025-07-10,,10派1.722元(含税),2024年报
2025-11-14,中期分红,,,1.88,2025-11-20,2025-11-21,2025-11-21,,10派1.88元(含税),2025半年报
2026-06-03,年度分红,,,1.93,2026-06-09,2026-06-10,2026-06-10,,10派1.93元(含税),2025年报
