实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2017-06-28,年度分红,,3.0,0.6,2017-07-03,2017-07-04,2017-07-04,,10转增3股派0.6元(含税),2016年报
2018-05-28,年度分红,,,1.5,2018-05-31,2018-06-01,2018-06-01,,10派1.5元(含税),2017年报
2019-06-04,年度分红,1.0,,1.0,2019-06-11,2019-06-12,2019-06-12,,10送1股派1元(含税),2018年报
2020-06-24,年度分红,,,1.5,2020-07-01,2020-07-02,2020-07-02,,10派1.5元(含税),2019年报
2021-06-01,年度分红,,,1.5,2021-06-07,2021-06-08,2021-06-08,,10派1.5元(含税),2020年报
2022-06-08,年度分红,,,1.6,2022-06-15,2022-06-16,2022-06-16,,10派1.6元(含税),2021年报
2023-06-20,年度分红,,,1.7,2023-06-27,2023-06-28,2023-06-28,,10派1.7元(含税),2022年报
2024-05-31,年度分红,,,1.8,2024-06-06,2024-06-07,2024-06-07,,10派1.8元(含税),2023年报
2025-06-06,年度分红,,1.0,1.8,2025-06-11,2025-06-12,2025-06-12,,10转增1股派1.8元(含税),2024年报
2025-09-12,中期分红,,,0.9,2025-09-18,2025-09-19,2025-09-19,,10派0.9元(含税),2025半年报
2026-06-12,年度分红,,1.0,1.2,2026-06-17,2026-06-18,2026-06-18,,10转增1股派1.2元(含税),2025年报
