常用指标,每股净资产,5.081859,4.956219,5.031265,5.002928,4.912106,4.888443,4.938345,4.884267,4.807932,4.669329,4.801048,4.728746,5.076939,4.932977,5.269074,5.151531,4.981595,4.832331,5.393915,5.264088,5.034565,4.880061,5.068827,4.981552,5.417169,5.195063,5.329526,5.139396,5.053033,4.867369,5.005627,,,,,4.207557,4.198875,4.001625,3.645832,3.46073,,2.893397,2.606765,2.419236,1.946088,1.59357,1.933984,1.446084,1.277056,1.290806,1.30784,1.234974,0.412571,0.350271
常用指标,每股现金流,1.710599,2.403617,1.890296,0.853209,-0.015206,0.964063,1.277309,-0.484456,-0.011256,0.181267,-0.112177,-0.05139,-0.082883,-3.792858,-2.751636,-2.193347,-2.354418,-5.156235,-3.439707,-0.740446,-0.357683,-1.487772,-0.092046,0.970316,2.481312,-1.325716,-1.379879,-0.726104,1.010113,-4.359973,-3.799355,,,,,-2.468195,-4.630028,10.153529,4.611417,1.501412,,7.470252,1.68916,2.972697,2.431179,0.817346,3.214595,1.989946,,1.529954,0.02456,0.263712,,
常用指标,净资产收益率(ROE),2.345,3.16,5.055,3.62,2.28,3.21,5.1375,3.67,2.245,3.29,6.5175,4.885,2.8725,3.53,8.1525,6.135,2.875,7.17,8.6325,6.44,3.02,8.37,10.29,7.58,3.485,9.3,11.8725,8.25,3.565,10.03,13.6275,9.42,4.7975,18.82,,10.25,,20.21,11.025,26.22,,23.52,,22.1,21.04,29.45,,,,,,,,
常用指标,总资产报酬率(ROA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,毛利率,37.066572,14.570666,28.09517,29.21082,34.692546,13.975305,28.325359,29.243198,33.884778,12.688133,31.897521,36.47362,45.753921,18.617772,37.19432,42.901083,44.016994,26.929863,40.614437,45.559406,44.914124,27.504925,38.74384,40.041045,37.644755,29.698216,46.541654,48.850124,47.071547,33.93164,54.619954,58.807907,57.462585,53.881235,60.364708,61.569392,56.534358,51.808099,58.251322,55.259567,,58.278697,70.385573,58.16881,57.024147,57.798441,55.834472,28.631678,1.977116,23.246124,29.106583,31.101976,26.001136,
常用指标,销售净利率,30.798095,14.773427,24.482092,24.908172,29.231179,14.47108,25.318,25.795322,29.152798,13.605323,27.188982,30.563311,37.366518,17.216659,30.228751,34.804449,35.778754,22.958326,33.120295,36.560033,36.479352,22.735484,31.231098,32.083641,30.19505,25.011082,37.98355,40.11823,37.578788,27.798752,43.238314,46.182395,45.258293,42.509232,47.032365,47.766636,44.056629,40.865565,45.791156,42.606483,,44.516068,53.028358,44.700672,44.201527,43.459495,42.792471,21.92938,1.933324,17.685594,18.118471,24.215787,42.655201,1.022879
常用指标,期间费用率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,资产负债率,92.596225,92.355313,92.25148,92.028397,92.00173,91.676868,91.47864,91.276745,91.214556,91.388291,91.061635,91.097878,91.116601,91.103292,89.399731,89.363918,89.444965,89.667192,91.110789,91.443552,91.491028,91.608106,92.101295,92.202202,92.257878,92.029297,91.747434,91.764176,91.999597,91.877268,91.550305,92.135318,92.239289,92.327409,94.289433,94.473968,93.890094,94.02936,93.689496,93.289732,94.442016,94.416945,93.859544,93.614014,92.604789,91.333785,95.195982,95.112541,95.062427,94.554981,95.850827,96.183876,95.880167,95.971182
每股指标,基本每股收益,0.12,0.16,0.25,0.18,0.11,0.15,0.25,0.18,0.11,0.15,0.3,0.23,0.13,0.16,0.41,0.28,0.14,0.33,0.44,0.3,0.14,0.36,0.51,0.37,0.17,0.43,0.55,0.38,0.18,0.47,0.65,0.44,0.22,0.8,0.63,0.43,0.2,0.75,0.4,0.85,,0.62,0.69,0.48,0.37,0.24,,,,,,,,
每股指标,稀释每股收益,0.12,0.16,0.25,0.18,0.11,0.15,0.25,0.18,0.11,0.15,0.3,0.23,0.13,0.16,0.41,0.28,0.14,0.33,0.44,0.3,0.14,0.36,0.51,0.37,0.17,0.43,0.55,0.38,0.18,0.47,0.65,0.44,0.22,0.8,0.63,0.43,0.2,0.75,0.4,0.85,,0.62,0.69,0.48,0.37,0.24,,,,,,,,
