常用指标,每股净资产,16.130197,15.800683,15.841409,15.726962,15.431222,15.253608,15.06253,14.758921,14.635111,14.05831,13.710883,13.287305,13.157297,12.596033,12.956054,12.518584,12.560418,12.192781,12.061039,11.577609,11.560459,11.277604,11.234356,,,,,,,,,,,,8.277085,7.932182,7.926532,7.614804,7.553256,7.195829,7.156457,6.80928,6.684632,6.354008,6.229449,5.878625,,5.403651,4.982674,4.081476,3.192425,2.993652,2.81204,2.488464,1.997464,1.628788,1.499858,1.300961,1.075305,0.961892,1.150131,1.126445,1.557631,1.577526,1.537476,1.52742
常用指标,每股现金流,11.194787,14.227756,15.647396,11.539087,11.908076,-5.971067,-9.320552,-10.911991,-5.549311,1.28055,-2.611052,-1.956279,1.236319,1.528736,-3.343169,-1.220321,-7.293,1.463577,-2.909599,-6.055432,-2.262425,10.300766,7.838286,,,,,,,,,,,,-1.129894,-4.033643,-3.86263,-6.465015,-6.12668,-5.870875,-0.050336,5.34574,2.202479,2.432425,6.193382,8.051523,,2.641684,5.64569,6.947848,0.283046,,0.421334,2.894179,2.445189,0.24981,-1.273891,2.548701,-0.803162,1.384751,0.063647,,,,,
常用指标,净资产收益率(ROE),3.1525,9.5,8.7075,5.76,2.96,9.29,8.5725,5.885,3.0425,10.14,9.18,6.28,3.2525,10.2,9.48,6.285,3.35,10.99,10.275,6.845,3.855,12.23,11.6175,7.77,4.2175,12.95,12.45,,,12.77,,,,14.95,,,,15.53,,,,18.36,,,,,,,,26.29,26.03,,,24.4,23.91,22.13,,,,14.17,,,,,,
常用指标,总资产报酬率(ROA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,毛利率,50.122859,44.774477,47.849292,49.40513,53.91122,46.801668,49.116881,51.722196,55.100514,46.642944,49.813599,49.108782,55.909114,46.834469,50.477368,51.384888,55.981287,41.985349,47.457306,47.575734,50.922623,44.072779,51.046382,50.777803,81.716816,46.871148,79.193712,57.527406,,44.839089,52.093428,55.656804,54.203014,47.987536,53.719394,54.86844,57.34302,48.529876,53.896785,55.052081,53.907769,49.587276,57.282217,57.112243,55.510323,50.672402,66.555036,60.856664,51.719323,54.128144,54.317304,58.294386,60.689846,51.029204,52.798722,45.19315,60.721185,55.924459,51.279365,43.89125,30.963395,-31.414459,-51.534628,-12.824095,,
常用指标,销售净利率,47.511205,40.39489,44.256914,44.313913,47.660717,40.36047,44.247604,44.848401,47.605995,39.578894,43.902788,43.759529,47.741805,37.997557,41.630399,42.809287,46.778963,33.475356,37.682998,37.864084,40.433213,34.990589,40.521071,40.074619,42.472166,36.168891,44.001361,45.471954,,35.259914,41.934354,44.022377,48.501951,37.103761,44.042038,44.513849,42.897876,36.545355,40.57475,41.564724,39.951531,37.079221,41.802982,43.274083,41.884676,37.850771,44.117551,46.19198,40.00742,41.531051,41.853111,44.68284,46.413128,40.029211,41.826085,34.236222,47.220904,35.897991,29.242834,23.184228,14.045698,23.976197,16.439553,12.680997,,
常用指标,期间费用率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常用指标,资产负债率,93.722355,93.615439,93.546621,93.339989,93.08105,92.556525,92.358739,92.328896,92.138802,92.196251,92.512078,92.577384,92.454381,92.479256,92.077966,92.239778,91.970378,92.043556,92.045955,92.250338,91.990632,92.522948,92.359581,92.396213,92.130779,92.296246,91.823326,91.988298,92.106502,92.31484,92.287098,92.469204,92.392206,92.32196,93.301856,93.564494,93.426534,93.617884,93.341989,93.44576,93.324754,93.341943,93.827603,93.922043,93.995297,94.207206,93.827758,93.536847,93.481567,94.718419,94.934154,95.051243,95.270265,95.358117,95.008908,94.168916,94.701369,94.110081,93.32443,94.87203,92.479103,93.00468,96.978866,96.054374,95.578788,94.178484
每股指标,基本每股收益,0.52,1.53,1.4,0.92,0.47,1.38,1.27,0.87,0.44,1.36,1.23,0.84,0.43,1.31,1.22,0.8,0.42,1.28,1.2,0.79,0.41,1.32,1.25,0.81,0.44,1.25,1.19,,,1.11,,,,1.19,,,0.35,1.12,0.95,0.65,0.32,1.17,0.99,0.68,0.33,1.05,,0.62,1.12,0.95,0.74,,0.38,0.55,0.00043,0.32,,,,0.1,,,,,,
每股指标,稀释每股收益,0.4,1.2,1.08,0.71,0.36,1.1,1.0,0.68,0.35,1.09,0.98,0.66,0.37,1.11,1.04,0.71,0.42,1.28,1.2,0.79,0.41,1.32,1.25,0.81,0.44,1.25,1.19,,,1.11,,,,1.19,,,0.35,1.12,0.95,0.65,0.32,1.17,0.99,0.68,0.33,1.05,,0.62,1.12,0.95,0.74,,0.38,0.55,0.00043,0.32,,,,0.1,,,,,,
每股指标,摊薄每股收益_最新股数,0.494567,1.55945,1.345692,0.879674,0.447974,1.411363,1.221275,0.834657,0.425311,1.359649,1.177755,0.801612,0.408811,1.342569,1.169759,0.768009,0.398089,1.286274,1.122234,0.733469,0.395538,1.220051,1.073881,0.702089,0.379907,1.160437,1.050439,0.667964,0.334216,1.039734,0.918697,0.626699,0.307136,1.027609,0.909206,0.620365,0.301951,0.965908,0.816398,0.559848,0.272896,0.874312,0.737638,0.506875,0.24733,0.779734,0.668357,0.459642,0.642418,0.531087,0.410669,0.311284,0.213443,0.304391,0.241559,0.180655,0.112574,0.153515,0.075762,0.042304,0.021561,0.013617,0.005943,0.006128,,
每股指标,摊薄每股净资产_期末股数,16.130197,15.800683,15.841409,15.726962,15.431222,15.253608,15.06253,14.758921,14.635111,14.05831,13.710883,13.287305,13.157297,12.596033,12.956054,12.518584,12.560418,12.192781,12.061039,11.577609,11.560459,11.277604,11.234356,,,,,,,,,,,,8.277085,7.932182,7.926532,7.614804,7.553256,7.195829,7.156457,6.80928,6.684632,6.354008,6.229449,5.878625,,5.403651,4.982674,4.081476,3.192425,2.993652,2.81204,2.488464,1.997464,1.628788,1.499858,1.300961,1.075305,0.961892,1.150131,1.126445,1.557631,1.577526,1.537476,1.52742
每股指标,调整每股净资产_期末股数,14.468209,14.073075,14.097468,14.157818,13.876749,13.808032,13.50308,13.292336,13.202254,12.619116,12.186226,11.776908,11.699622,11.094078,11.547527,11.165288,11.289145,10.960811,10.862938,10.408387,10.445904,10.084022,10.11901,,,,,,,,,,,,7.889266,7.578157,7.587137,7.219031,7.32089,6.916997,6.99157,6.573105,6.551054,6.123748,6.109118,5.675916,,5.29221,4.783787,3.885785,3.005821,2.993652,2.630721,2.308949,1.835671,1.54683,1.443468,1.243152,1.009788,0.838758,1.146621,1.120534,1.528705,1.543832,1.504641,1.489499
